artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/code_snippet.py,py,117,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/command.sh,sh,607,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/config.json,json,937,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/decision.json,json,2852,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/logs_tail.txt,txt,3811,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/metrics.json,json,2214,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/per_trace.csv,csv,12289,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/protected_sets_sample.json,json,11699,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/bootstrap_ci.json,json,556,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/checker_result.json,json,2852,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/command_metadata.json,json,1428,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/control_metrics.json,json,1109,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/decoding_config.json,json,1015,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/model_provenance.json,json,9286,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/per_trace_metrics.json,json,11482,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/prompt_manifest.json,json,8451,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/protected_sets.json,json,275477,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/quantization_config.json,json,476,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/random_seed.json,json,176,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/score_cache/bf16.json,json,2275,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/score_cache/m2_position_conditional.json,json,2292,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/score_cache/random_bin_assignment.json,json,2288,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/score_cache/static_1pct.json,json,2278,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/source_files/score_cache/static_3pct.json,json,2278,,included,02_m2_position_switching
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/02_m2_position_switching/summary.md,md,731,,included,02_m2_position_switching
