artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/code_snippet.py,py,113,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/command.sh,sh,593,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/config.json,json,929,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/decision.json,json,3155,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/logs_tail.txt,txt,22956,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/metrics.json,json,2240,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/per_trace.csv,csv,11301,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/bootstrap_ci.json,json,553,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/checker_result.json,json,3155,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/command_metadata.json,json,1430,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/control_metrics.json,json,1093,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/decoding_config.json,json,1460,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/model_provenance.json,json,9287,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/per_trace_metrics.json,json,11936,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/prompt_manifest.json,json,8452,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/quantization_config.json,json,433,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/random_seed.json,json,177,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/score_cache/bf16.json,json,2276,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/score_cache/m10_position_binned.json,json,2262,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/score_cache/midpoint_matched_cost.json,json,2265,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/score_cache/random_bin_assignment.json,json,2289,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/source_files/score_cache/static_smoothquant.json,json,2264,,included,03_m10_position_bins
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/03_m10_position_bins/summary.md,md,735,,included,03_m10_position_bins
