artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/code_snippet.py,py,109,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/command.sh,sh,206,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/config.json,json,923,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/decision.json,json,3513,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/logs_tail.txt,txt,4957,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/metrics.json,json,3934,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/per_trace.csv,csv,15863,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/protected_sets_sample.json,json,10350,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/bootstrap_ci.json,json,1834,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/checker_result.json,json,3513,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/command_metadata.json,json,865,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/control_metrics.json,json,763,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/decoding_config.json,json,1297,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/model_provenance.json,json,11172,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/per_trace_metrics.json,json,12156,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/prompt_manifest.json,json,8462,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/protected_sets.json,json,734149,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/protected_trajectories.json,json,6111671,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/quantization_config.json,json,386,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/random_seed.json,json,152,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/score_cache/bf16.json,json,2281,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/score_cache/m11b_top1.json,json,2277,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/score_cache/m11b_top10.json,json,2282,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/score_cache/m11b_top5.json,json,2287,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/score_cache/static_1pct.json,json,2283,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/source_files/score_cache/static_top10.json,json,2290,,included,06_m11b_nemotron
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/06_m11b_nemotron/summary.md,md,725,,included,06_m11b_nemotron
