artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/code_snippet.py,py,109,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/command.sh,sh,259,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/config.json,json,868,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/decision.json,json,3643,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/logs_tail.txt,txt,12124,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/metrics.json,json,3909,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/per_trace.csv,csv,15987,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/protected_sets_sample.json,json,9225,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/bootstrap_ci.json,json,1846,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/checker_result.json,json,3643,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/command_metadata.json,json,814,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/control_metrics.json,json,766,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/decoding_config.json,json,1293,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/model_provenance.json,json,3205,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/per_trace_metrics.json,json,12267,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/prompt_manifest.json,json,8458,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/protected_sets.json,json,238201,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/protected_trajectories.json,json,1946879,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/quantization_config.json,json,382,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/random_seed.json,json,148,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/score_cache/bf16.json,json,2282,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/score_cache/m11b_top1.json,json,2285,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/score_cache/m11b_top10.json,json,2286,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/score_cache/m11b_top5.json,json,2285,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/score_cache/static_1pct.json,json,2289,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/source_files/score_cache/static_top10.json,json,2284,,included,07_m11b_deepseek
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/07_m11b_deepseek/summary.md,md,693,,included,07_m11b_deepseek
