artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/code_snippet.py,py,107,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/command.sh,sh,242,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/config.json,json,827,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/decision.json,json,3718,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/logs_tail.txt,txt,12131,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/metrics.json,json,3817,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/per_trace.csv,csv,15851,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/protected_sets_sample.json,json,8667,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/bootstrap_ci.json,json,1783,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/checker_result.json,json,3718,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/command_metadata.json,json,778,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/control_metrics.json,json,752,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/decoding_config.json,json,1291,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/model_provenance.json,json,3386,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/per_trace_metrics.json,json,12225,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/prompt_manifest.json,json,8456,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/protected_sets.json,json,216589,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/protected_trajectories.json,json,1737517,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/quantization_config.json,json,380,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/random_seed.json,json,146,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/score_cache/bf16.json,json,2267,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/score_cache/m11b_top1.json,json,2265,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/score_cache/m11b_top10.json,json,2269,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/score_cache/m11b_top5.json,json,2261,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/score_cache/static_1pct.json,json,2264,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/source_files/score_cache/static_top10.json,json,2265,,included,08_m11b_falcon
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/08_m11b_falcon/summary.md,md,656,,included,08_m11b_falcon
