experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.03818315050786415,0.06314026518063025,0.0661748215048306,0.026254741436561924,False,-0.12330140863190997,0.0,512,10000,perplexity_bf16=1.0389214944540541; perplexity_static=1.065176235890616; perplexity_method=1.0684134824930107
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.03818315050786415,0.06314026518063025,0.05190598953554926,0.026254741436561924,False,0.4532330700758944,0.4532330700758944,512,10000,perplexity_bf16=1.0389214944540541; perplexity_static=1.065176235890616; perplexity_method=1.0532767188252743
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.03818315050786415,0.06314026518063025,0.06060063448019949,0.026254741436561924,False,0.10290416061493057,0.10290416061493057,512,10000,perplexity_bf16=1.0389214944540541; perplexity_static=1.065176235890616; perplexity_method=1.0624745137609246
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.03818315050786415,0.06314026518063025,0.05310890307168083,0.026254741436561924,False,0.40494605200334066,0.40494605200334066,512,10000,perplexity_bf16=1.0389214944540541; perplexity_static=1.065176235890616; perplexity_method=1.0545444819995118
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.09836370611113987,0.27183867651790417,0.2674303981888394,0.20901125491100458,False,0.02761852479871596,0.02761852479871596,512,10000,perplexity_bf16=1.103364012373793; perplexity_static=1.3123752672847975; perplexity_method=1.3066026847578271
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.09836370611113987,0.27183867651790417,0.29434996507216316,0.20901125491100458,False,-0.1429506562841225,0.0,512,10000,perplexity_bf16=1.103364012373793; perplexity_static=1.3123752672847975; perplexity_method=1.3422535633450936
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.09836370611113987,0.27183867651790417,0.2675655489376071,0.20901125491100458,False,0.026773592956062853,0.026773592956062853,512,10000,perplexity_bf16=1.103364012373793; perplexity_static=1.3123752672847975; perplexity_method=1.3067792850225743
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.09836370611113987,0.27183867651790417,0.277137975135155,0.20901125491100458,False,-0.03336245442198593,0.0,512,10000,perplexity_bf16=1.103364012373793; perplexity_static=1.3123752672847975; perplexity_method=1.319348395750448
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.047049876825699555,0.2279521900537793,0.26030282833460466,0.20785098611389663,False,-0.19868859221499036,0.0,512,10000,perplexity_bf16=1.0481742873821414; perplexity_static=1.256025273496038; perplexity_method=1.2973228933175056
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.047049876825699555,0.2279521900537793,0.2187309280352701,0.20785098611389663,False,0.055467145779557914,0.055467145779557914,512,10000,perplexity_bf16=1.0481742873821414; perplexity_static=1.256025273496038; perplexity_method=1.2444963725488336
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.047049876825699555,0.2279521900537793,0.2164560634888248,0.20785098611389663,False,0.0690722916082479,0.0690722916082479,512,10000,perplexity_bf16=1.0481742873821414; perplexity_static=1.256025273496038; perplexity_method=1.241668529572117
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.047049876825699555,0.2279521900537793,0.2540315154548637,0.20785098611389663,False,-0.1596680432856563,0.0,512,10000,perplexity_bf16=1.0481742873821414; perplexity_static=1.256025273496038; perplexity_method=1.289212433743838
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.07872057156530421,0.17192583777554982,0.1653644711801449,0.10568778999388417,False,0.07348723814534197,0.07348723814534197,512,10000,perplexity_bf16=1.0819019656560347; perplexity_static=1.1875897556499189; perplexity_method=1.1798230518575834
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.07872057156530421,0.17192583777554982,0.17767748813109724,0.10568778999388417,False,-0.0648162135896575,0.0,512,10000,perplexity_bf16=1.0819019656560347; perplexity_static=1.1875897556499189; perplexity_method=1.1944400380199813
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.07872057156530421,0.17192583777554982,0.16715222756218623,0.10568778999388417,False,0.05351215195006476,0.05351215195006476,512,10000,perplexity_bf16=1.0819019656560347; perplexity_static=1.1875897556499189; perplexity_method=1.1819341745724996
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.07872057156530421,0.17192583777554982,0.1734496316694456,0.10568778999388417,False,-0.017135579043980442,0.0,512,10000,perplexity_bf16=1.0819019656560347; perplexity_static=1.1875897556499189; perplexity_method=1.1894007771293427
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.04472739644747756,0.08881364289036196,0.09285628602592427,0.0471342240931083,False,-0.09392440725295215,0.0,512,10000,perplexity_bf16=1.0457427478611125; perplexity_static=1.0928769719542208; perplexity_method=1.0973040260134939
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.04472739644747756,0.08881364289036196,0.08399618648704198,0.0471342240931083,False,0.11143125670194454,0.11143125670194454,512,10000,perplexity_bf16=1.0457427478611125; perplexity_static=1.0928769719542208; perplexity_method=1.0876247461298547
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.04472739644747756,0.08881364289036196,0.08446922034212717,0.0471342240931083,False,0.10051339309744134,0.10051339309744134,512,10000,perplexity_bf16=1.0457427478611125; perplexity_static=1.0928769719542208; perplexity_method=1.0881393511596074
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.04472739644747756,0.08881364289036196,0.09275207346499645,0.0471342240931083,False,-0.09149842259802377,0.0,512,10000,perplexity_bf16=1.0457427478611125; perplexity_static=1.0928769719542208; perplexity_method=1.097189679109122
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.03244779194063678,0.1110638714812576,0.11883193231106175,0.08448631694460929,False,-0.10314509283984874,0.0,512,10000,perplexity_bf16=1.0329799618569913; perplexity_static=1.1174662788016005; perplexity_method=1.1261806278065492
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.03244779194063678,0.1110638714812576,0.12197823642342077,0.08448631694460929,False,-0.14515055454958858,0.0,512,10000,perplexity_bf16=1.0329799618569913; perplexity_static=1.1174662788016005; perplexity_method=1.1297295145579629
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.03244779194063678,0.1110638714812576,0.10542909594363925,0.08448631694460929,False,0.07431930976534984,0.07431930976534984,512,10000,perplexity_bf16=1.0329799618569913; perplexity_static=1.1174662788016005; perplexity_method=1.1111873140416606
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.03244779194063678,0.1110638714812576,0.11739489814491384,0.08448631694460929,False,-0.08400355802846748,0.0,512,10000,perplexity_bf16=1.0329799618569913; perplexity_static=1.1174662788016005; perplexity_method=1.1245634300296685
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0587266857629668,0.17558362911519934,0.17528392221814448,0.1314563101288413,False,0.0027170974936109316,0.0027170974936109316,512,10000,perplexity_bf16=1.0604853553812748; perplexity_static=1.191941665510116; perplexity_method=1.1915844858993456
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0587266857629668,0.17558362911519934,0.14854154827759214,0.1314563101288413,False,0.24191053929326034,0.24191053929326034,512,10000,perplexity_bf16=1.0604853553812748; perplexity_static=1.191941665510116; perplexity_method=1.160140998633346
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0587266857629668,0.17558362911519934,0.1676241041089972,0.1314563101288413,False,0.0718842047342575,0.0718842047342575,512,10000,perplexity_bf16=1.0604853553812748; perplexity_static=1.191941665510116; perplexity_method=1.1824920331992044
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0587266857629668,0.17558362911519934,0.1568265283092202,0.1314563101288413,False,0.16848940231059528,0.16848940231059528,512,10000,perplexity_bf16=1.0604853553812748; perplexity_static=1.191941665510116; perplexity_method=1.1697926703865513
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.001688641036480476,0.0316904579160564,0.04620575077876765,0.03050787955209544,False,-0.49468932527907183,0.0,512,10000,perplexity_bf16=1.0016900675936236; perplexity_static=1.032197947145719; perplexity_method=1.0472898694970403
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.001688641036480476,0.0316904579160564,0.020317459896205037,0.03050787955209544,False,0.38261206170461437,0.38261206170461437,512,10000,perplexity_bf16=1.0016900675936236; perplexity_static=1.032197947145719; perplexity_method=1.0205252644520557
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.001688641036480476,0.0316904579160564,0.077700092991563,0.03050787955209544,False,-1.5930482416702176,0.0,512,10000,perplexity_bf16=1.0016900675936236; perplexity_static=1.032197947145719; perplexity_method=1.0807984710232714
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.001688641036480476,0.0316904579160564,0.022016305568968164,0.03050787955209544,False,0.3257353319455666,0.3257353319455666,512,10000,perplexity_bf16=1.0016900675936236; perplexity_static=1.032197947145719; perplexity_method=1.0222604528728618
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.009965909776862056,0.06773775964821473,0.10533571324833549,0.060068917469538796,False,-0.6825310433778229,0.0,512,10000,perplexity_bf16=1.0100157348354966; perplexity_static=1.0700846523050354; perplexity_method=1.111083553220096
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.009965909776862056,0.06773775964821473,0.10078841616240868,0.060068917469538796,False,-0.5986114862202374,0.0,512,10000,perplexity_bf16=1.0100157348354966; perplexity_static=1.0700846523050354; perplexity_method=1.1060425962671168
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.009965909776862056,0.06773775964821473,0.106767832783843,0.060068917469538796,False,-0.7090396683179219,0.0,512,10000,perplexity_bf16=1.0100157348354966; perplexity_static=1.0700846523050354; perplexity_method=1.1126758976238538
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.009965909776862056,0.06773775964821473,0.11119066216748444,0.060068917469538796,False,-0.7911465995619871,0.0,512,10000,perplexity_bf16=1.0100157348354966; perplexity_static=1.0700846523050354; perplexity_method=1.1176079721004306
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.015570229108946537,0.19268535406491255,0.240818919153928,0.19680914820793616,False,-0.30379381557092655,0.0,512,10000,perplexity_bf16=1.0156920767031188; perplexity_static=1.212501224911055; perplexity_method=1.2722906269844079
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.015570229108946537,0.19268535406491255,0.2306019028009857,0.19680914820793616,False,-0.23808124952180965,0.0,512,10000,perplexity_bf16=1.0156920767031188; perplexity_static=1.212501224911055; perplexity_method=1.2593577928337234
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.015570229108946537,0.19268535406491255,0.22145858498890575,0.19680914820793616,False,-0.17984093195409367,0.0,512,10000,perplexity_bf16=1.0156920767031188; perplexity_static=1.212501224911055; perplexity_method=1.2478955655418615
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.015570229108946537,0.19268535406491255,0.2572449871502299,0.19680914820793616,False,-0.4108585440866037,0.0,512,10000,perplexity_bf16=1.0156920767031188; perplexity_static=1.212501224911055; perplexity_method=1.2933619450066922
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.14025385558763143,0.30165219464193443,0.3006161683263135,0.20152504111207303,False,0.0069474063488415005,0.0069474063488415005,512,10000,perplexity_bf16=1.150565839354861; perplexity_static=1.352090880466934; perplexity_method=1.3506908041168615
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.14025385558763143,0.30165219464193443,0.27676961199768163,0.20152504111207303,False,0.16488469297152963,0.16488469297152963,512,10000,perplexity_bf16=1.150565839354861; perplexity_static=1.352090880466934; perplexity_method=1.318862485937095
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.14025385558763143,0.30165219464193443,0.28431326320951744,0.20152504111207303,False,0.11532926743718863,0.11532926743718863,512,10000,perplexity_bf16=1.150565839354861; perplexity_static=1.352090880466934; perplexity_method=1.3288491451052293
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.14025385558763143,0.30165219464193443,0.2756872806569262,0.20152504111207303,False,0.17196408116339812,0.17196408116339812,512,10000,perplexity_bf16=1.150565839354861; perplexity_static=1.352090880466934; perplexity_method=1.3174358119406804
08_m11b_falcon,Falcon-H1,m11b_top1,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.05606146538548326,0.1659254416619162,0.16169164269175668,0.12282239205234657,False,0.04060636854179156,0.04060636854179156,512,10000,perplexity_bf16=1.057662691383768; perplexity_static=1.1804850834361145; perplexity_method=1.1754977121192525
08_m11b_falcon,Falcon-H1,m11b_top10,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.05606146538548326,0.1659254416619162,0.16254743570242003,0.12282239205234657,False,0.0324123146027786,0.0324123146027786,512,10000,perplexity_bf16=1.057662691383768; perplexity_static=1.1804850834361145; perplexity_method=1.176504125424648
08_m11b_falcon,Falcon-H1,m11b_top5,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.05606146538548326,0.1659254416619162,0.15086927497041797,0.12282239205234657,False,0.14362566870132465,0.14362566870132465,512,10000,perplexity_bf16=1.057662691383768; perplexity_static=1.1804850834361145; perplexity_method=1.1628446352461
08_m11b_falcon,Falcon-H1,static_top10,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.05606146538548326,0.1659254416619162,0.1627152397533002,0.12282239205234657,False,0.030804800534130705,0.030804800534130705,512,10000,perplexity_bf16=1.057662691383768; perplexity_static=1.1804850834361145; perplexity_method=1.1767015641478171
