artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/code_snippet.py,py,114,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/command.sh,sh,472,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/config.json,json,1123,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/decision.json,json,658,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/logs_tail.txt,txt,13488,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/metrics.json,json,365,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/per_trace.csv,csv,2,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/protected_sets_sample.json,json,7163,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/checker_result.json,json,658,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/command_metadata.json,json,1059,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/decoding_config.json,json,223,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/model_provenance.json,json,9287,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/prompt_manifest.json,json,8452,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/protected_sets.json,json,122719,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/quantization_config.json,json,392,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/random_seed.json,json,87,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/source_files/source_artifacts.json,json,5034,,included,15_kl_fft_diagnostics
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/15_kl_fft_diagnostics/summary.md,md,823,,included,15_kl_fft_diagnostics
