artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/code_snippet.py,py,111,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/command.sh,sh,292,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/config.json,json,863,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/decision.json,json,714,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/logs_tail.txt,txt,11895,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/metrics.json,json,21968,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/per_trace.csv,csv,2,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/source_files/bootstrap_ci.json,json,139,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/source_files/checker_result.json,json,714,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/source_files/command_metadata.json,json,568,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/source_files/prompt_manifest.json,json,15760,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/source_files/random_seed.json,json,99,,included,16_e2_cross_prompt
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/16_e2_cross_prompt/summary.md,md,670,,included,16_e2_cross_prompt
