artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/code_snippet.py,py,101,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/command.sh,sh,321,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/config.json,json,1299,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/decision.json,json,4230,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/logs_tail.txt,txt,8036,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/metrics.json,json,4890,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/per_trace.csv,csv,52509,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/protected_sets_sample.json,json,17998,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/bootstrap_ci.json,json,2253,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/checker_result.json,json,4230,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/command_metadata.json,json,1117,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/control_metrics.json,json,790,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/decoding_config.json,json,1288,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/model_provenance.json,json,9288,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/per_trace_metrics.json,json,14403,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/prompt_manifest.json,json,8453,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/protected_sets.json,json,2046802,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/quantization_config.json,json,377,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/random_seed.json,json,144,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/bf16.json,json,2278,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/m11b_top10.json,json,2279,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/m11b_top5.json,json,2282,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/mpred_top10_alpha_0_95.json,json,2286,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/mpred_top5_alpha_0_95.json,json,2286,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/static_1pct.json,json,2281,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/source_files/score_cache/static_top10.json,json,2279,,included,17_mpred
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/17_mpred/summary.md,md,896,,included,17_mpred
