artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/code_snippet.py,py,110,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/command.sh,sh,86,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/config.json,json,1014,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/decision.json,json,294,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/logs_tail.txt,txt,38,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/metrics.json,json,301,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/per_trace.csv,csv,2,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/source_files/decision.json,json,12436,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/source_files/report.md,md,3887,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/source_files/wjac_scores.parquet,parquet,4806663,,included,18_wjac_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/18_wjac_prefilter/summary.md,md,768,,included,18_wjac_prefilter
