artifact_path,artifact_type,file_size,source_path,included_or_omitted,notes
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/code_snippet.py,py,112,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/command.sh,sh,86,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/config.json,json,1022,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/decision.json,json,298,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/logs_tail.txt,txt,38,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/metrics.json,json,314,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/per_trace.csv,csv,2,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/source_files/decision.json,json,514907,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/source_files/report.md,md,7833,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/source_files/smoke_traces.json,json,4445,,included,19_lambda_prefilter
artifacts/external_review_pack/om_positive_method_pack_20260528_0536/experiments/19_lambda_prefilter/summary.md,md,765,,included,19_lambda_prefilter
