model_id,snapshot,source
tiiuae/Falcon-H1-0.5B-Instruct,8f2587ca06bff78d8fa1adfccbe8c24d5f86b368,experimental/outlier_migrate/phase9/results/om_phase9_mpred_falcon_extension_20260528T011658Z/metrics.json
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,experimental/outlier_migrate/phase9/results/om_phase9_mpred_deepseek_extension_20260528T005045Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_mpred_granite_reduced_20260527T201251Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,8f2587ca06bff78d8fa1adfccbe8c24d5f86b368,experimental/outlier_migrate/phase9/results/om_v2_m11b_falcon_20260527T1438Z/metrics.json
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,experimental/outlier_migrate/phase9/results/om_v2_m11b_deepseek_20260527T1210Z/metrics.json
RedHatAI/Qwen3-8B-quantized.w4a16,,experimental/outlier_migrate/phase9/results/om_stage1_e5_qwen3_skipinfra_20260527T093749Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_stage1_e3_granite_20260526T034442Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,cbd3fa9f933d55ef16a84236559f4ee2a0526848,experimental/outlier_migrate/phase9/results/om_phase9_m11b_nemotron_static1pct_salvage_20260524T2130Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,cbd3fa9f933d55ef16a84236559f4ee2a0526848,experimental/outlier_migrate/phase9/results/om_phase9_m11b_nemotron_20260520T2013Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_paroquant_granite_small_20260520T1555Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_m26_granite_small_vac12_20260518T203000Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_m11b_granite_small_vac12_reuse_20260518T030300Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_decdec_granite_small_vac12_20260517T141500Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_m18_granite_small_vac12_20260516T193500Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_m11_granite_small_vac12_20260516T010728Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_m10_granite_small_vac12_20260515T085800Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_vac12_finalized_20260514T233800Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/model_runs/granite_small/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,8f2587ca06bff78d8fa1adfccbe8c24d5f86b368,experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/model_runs/falcon_h1/metrics.json
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/model_runs/deepseek_r1_distill/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,8f2587ca06bff78d8fa1adfccbe8c24d5f86b368,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,experimental/outlier_migrate/phase5_prime/results/om_phase5p_20260512T053800Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase4/results/om_phase4_20260511T054000Z/metrics.json
ibm-granite/granite-4.0-h-tiny,791e0d3d28c86e106c9b6e0b4cecdee0375b6124,experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,cbd3fa9f933d55ef16a84236559f4ee2a0526848,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
ibm-granite/granite-4.0-h-small,b8c0982bab7fde4eb48110f5a069527c008fab39,experimental/outlier_migrate/phase1/results/om_phase1_20260508T014959Z/metrics.json
ibm-granite/granite-4.0-h-tiny,791e0d3d28c86e106c9b6e0b4cecdee0375b6124,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/metrics.json
