experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top1,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0009456347298730794,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.0009460819833627
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0009358757027029263,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.000936313771017
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0008604231987456856,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.0008607934689748
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,static_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0008637108865623411,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.000864083992221
01_static_top1_static_union,Granite,grid_dense,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.0003286283771117837,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0003286823813324
01_static_top1_static_union,Granite,grid_sparse,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.00028876259828969353,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0002888042942222
01_static_top1_static_union,Granite,magnitude_average,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.00012276823727574993,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0001227757736042
01_static_top1_static_union,Granite,static_2pct,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.00027282841483255993,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0002728656358895
01_static_top1_static_union,Granite,union_primary,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.0004112611069260197,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0004113456863695
01_static_top1_static_union,Granite,grid_dense,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.00039616309567236385,4.6639109903545695e-05,8.186695474676764e-05,-0.0003496013811115084,True,0.0,0.0,64,10000,perplexity_bf16=1.0003962415786352; perplexity_static=1.0000466401975237; perplexity_method=1.0000818703059373
01_static_top1_static_union,Granite,grid_sparse,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.00039616309567236385,4.6639109903545695e-05,0.0001876369141541323,-0.0003496013811115084,True,0.0,0.0,64,10000,perplexity_bf16=1.0003962415786352; perplexity_static=1.0000466401975237; perplexity_method=1.000187654519061
