prompt_index,prompt_id,no_gap,static_gap,recovery_paroquant_w4a16
0,opencompass_AIME2025_I_0,True,-0.0011893337179100794,
1,opencompass_AIME2025_I_1,False,0.02851820756108725,1.5665998401790793
2,opencompass_AIME2025_I_2,False,0.04309938962615045,0.4770444524050311
3,opencompass_AIME2025_I_3,True,-6.012396517340868e-05,
4,opencompass_AIME2025_I_4,False,0.0007722731060850752,-26.3711874060621
5,opencompass_AIME2025_I_5,False,0.05071758947543281,0.9974962856466989
6,opencompass_AIME2025_I_6,True,-1.8042876893220594e-05,
7,opencompass_AIME2025_I_7,False,0.010724353235221251,0.5639917441607243
8,opencompass_AIME2025_I_8,False,0.15653844809851214,0.7918488316283542
9,opencompass_AIME2025_I_9,False,0.0007550975899679457,1.003769554323054
10,opencompass_AIME2025_I_10,False,0.13306293354753373,0.7157048661540011
11,opencompass_AIME2025_I_11,True,-0.0011922024259112263,
