module,rank_in_top_score,column,score,activation_ema_sq,delta_norm_sq,selected_in_top8x32
model.layers.14.block_sparse_moe.input_linear,1,3720,2.6170050593350656,3.140256781307452,0.833372950553894,True
model.layers.14.block_sparse_moe.input_linear,2,2793,1.6312126058943488,2.1391492735383095,0.76255202293396,True
model.layers.14.block_sparse_moe.input_linear,3,3765,1.0047188954410273,1.3205915613417056,0.7608097195625305,True
model.layers.14.block_sparse_moe.input_linear,4,1021,0.719146380564913,0.9468633881287098,0.7595038414001465,True
model.layers.14.block_sparse_moe.input_linear,5,14,0.6924126215312735,0.9087257189293431,0.761959969997406,True
model.layers.14.block_sparse_moe.input_linear,6,672,0.6828399570860665,0.8975299105485591,0.7607991099357605,True
model.layers.14.block_sparse_moe.input_linear,7,1725,0.6185779004292286,0.8125362979455937,0.7612926363945007,True
model.layers.14.block_sparse_moe.input_linear,8,3078,0.6175314038159583,0.8098573219986112,0.7625187635421753,True
model.layers.14.block_sparse_moe.input_linear,9,1213,0.6014063601781516,0.7919343284898075,0.7594144344329834,True
model.layers.14.block_sparse_moe.input_linear,10,52,0.5892319006290037,0.7729451489308575,0.7623204588890076,True
model.layers.14.block_sparse_moe.input_linear,11,1268,0.5727424145081905,0.7538474803334813,0.7597590088844299,True
model.layers.14.block_sparse_moe.input_linear,12,2784,0.5587048674211955,0.7345221217131195,0.7606372237205505,True
model.layers.14.block_sparse_moe.input_linear,13,3176,0.5278366159895406,0.6940541316851712,0.7605121731758118,True
model.layers.14.block_sparse_moe.input_linear,14,3789,0.5246826494189892,0.685518650346073,0.7653805613517761,True
model.layers.14.block_sparse_moe.input_linear,15,3070,0.5219832149413103,0.6872639500231659,0.7595090866088867,True
model.layers.14.block_sparse_moe.input_linear,16,1053,0.4977071273641729,0.6550925634611843,0.7597508430480957,True
model.layers.14.block_sparse_moe.input_linear,17,2902,0.46334259682492107,0.6087295117910128,0.7611633539199829,True
model.layers.14.block_sparse_moe.input_linear,18,2650,0.4275000758352196,0.5614005253039694,0.7614885568618774,True
model.layers.14.block_sparse_moe.input_linear,19,1569,0.4111082882638417,0.5398654598079315,0.7615013718605042,True
model.layers.14.block_sparse_moe.input_linear,20,2782,0.40927476057993334,0.5375956989781031,0.7613058686256409,True
model.layers.14.block_sparse_moe.input_linear,21,608,0.40110966910564516,0.5279567905134884,0.7597395777702332,True
model.layers.14.block_sparse_moe.input_linear,22,2808,0.3952522439238162,0.49126159654904716,0.8045657277107239,True
model.layers.14.block_sparse_moe.input_linear,23,3514,0.3743937132352772,0.4930035047101881,0.7594138979911804,True
model.layers.14.block_sparse_moe.input_linear,24,2151,0.3538933170947279,0.46567007044290143,0.7599657773971558,True
model.layers.14.block_sparse_moe.input_linear,25,1656,0.339544034929077,0.44372551408532546,0.7652118802070618,True
model.layers.14.block_sparse_moe.input_linear,26,2002,0.3218579630474331,0.42344800852049586,0.7600885033607483,True
model.layers.14.block_sparse_moe.input_linear,27,2315,0.2640296285158099,0.3470589545841553,0.7607630491256714,True
model.layers.14.block_sparse_moe.input_linear,28,755,0.25554134737878953,0.3357723025659759,0.7610554695129395,True
model.layers.14.block_sparse_moe.input_linear,29,3399,0.23020855792471095,0.3025302904692648,0.7609438300132751,True
model.layers.14.block_sparse_moe.input_linear,30,1841,0.22774759410872514,0.2990942470248198,0.761457622051239,True
model.layers.14.block_sparse_moe.input_linear,31,4040,0.22688866278427783,0.2974540866751027,0.7627686858177185,True
model.layers.14.block_sparse_moe.input_linear,32,3032,0.22394498474846067,0.2942654547626025,0.7610304951667786,True
model.layers.15.block_sparse_moe.input_linear,1,3219,2.1790021563677673,2.8835452719910504,0.7556677460670471,True
model.layers.15.block_sparse_moe.input_linear,2,2053,1.4904850484792918,1.9701283971857417,0.7565420866012573,True
model.layers.15.block_sparse_moe.input_linear,3,499,1.1579839226747186,1.5288182135430801,0.7574372887611389,True
model.layers.15.block_sparse_moe.input_linear,4,729,1.0551017146258148,1.3978443772825477,0.7548062801361084,True
