module,shape,row_count,in_features,relative_residual_energy,top128_residual_energy_fraction,residual_norm_sq_total,fp_norm_sq_total
model.embed_tokens,100352x4096,100352,4096,0.00997414028154999,0.04015105577983916,11971.607948081153,1200264.645387638
model.layers.0.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010166207007594274,0.041217479283130576,2149.4524124591276,211431.10806748885
model.layers.0.block_sparse_moe.output_linear,72x4096x768,294912,768,0.01031448192686889,0.17489893596989348,1176.1626964929424,114030.22515644503
model.layers.0.block_sparse_moe.router.layer,72x4096,72,4096,0.008618169014652649,0.11110405404515994,0.1434777746776848,16.64828972763742
model.layers.0.shared_mlp.input_linear,3072x4096,3072,4096,0.010244278937188683,0.06118797692340548,55.61849268179669,5429.2247431774795
model.layers.0.shared_mlp.output_linear,4096x1536,4096,1536,0.010219434833303176,0.1798016602295818,50.43361107110609,4935.068513451706
model.layers.0.mamba.in_proj,16768x4096,16768,4096,0.010243712970346543,0.04034956862014749,409.16721253226416,39943.25238482567
model.layers.0.mamba.out_proj,4096x8192,4096,8192,0.010257745975311518,0.018996553363361944,194.25879637209272,18937.76633186642
model.layers.1.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.01011787842186242,0.03780862736626024,2901.1021376760364,286730.282448089
model.layers.1.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010179654766367311,0.17169686611356408,1461.0815432104164,143529.57705773108
model.layers.1.block_sparse_moe.router.layer,72x4096,72,4096,0.00826065111964111,0.11875847574457331,0.18626382768910724,22.54832276431977
model.layers.1.shared_mlp.input_linear,3072x4096,3072,4096,0.010235470603687449,0.040507169262924345,43.70107489923099,4269.571629025749
model.layers.1.shared_mlp.output_linear,4096x1536,4096,1536,0.010208476165074719,0.13077468264575545,32.15983115961531,3150.3067293863755
model.layers.1.mamba.in_proj,16768x4096,16768,4096,0.010294742685355844,0.04042310272194482,427.13843071257645,41490.928308502174
model.layers.1.mamba.out_proj,4096x8192,4096,8192,0.010222197413695145,0.017255869892693534,200.92553724808977,19655.806781710227
model.layers.2.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010102966148817378,0.037939762023574845,3206.5390006729476,317385.89968930016
model.layers.2.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010147004859232287,0.16886951493983346,1388.5883030246973,136847.11126961623
model.layers.2.block_sparse_moe.router.layer,72x4096,72,4096,0.009232300513156556,0.107117342375397,0.5418520818141344,58.69090602520619
model.layers.2.shared_mlp.input_linear,3072x4096,3072,4096,0.010275883615490606,0.036589327274403026,44.16873227436883,4298.290436822942
model.layers.2.shared_mlp.output_linear,4096x1536,4096,1536,0.01031070066100384,0.11753692015669759,23.440812373755797,2273.4451464012946
model.layers.2.mamba.in_proj,16768x4096,16768,4096,0.010265580604134026,0.039519459574721125,453.5714940448811,44183.71561587315
model.layers.2.mamba.out_proj,4096x8192,4096,8192,0.010421400013026026,0.018771666743487687,194.32947616294288,18647.156420446827
model.layers.3.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010111289537579539,0.032792975356713994,2917.175425024364,288506.7640662858
model.layers.3.block_sparse_moe.output_linear,72x4096x768,294912,768,0.01011857528027653,0.16786966919338878,1398.2451679581366,138185.97275089147
model.layers.3.block_sparse_moe.router.layer,72x4096,72,4096,0.009200256903315657,0.10609775513076379,1.7382650185517121,188.9365739260241
model.layers.3.shared_mlp.input_linear,3072x4096,3072,4096,0.010218537239195672,0.049271064816903444,37.77076918793451,3696.299020475806
model.layers.3.shared_mlp.output_linear,4096x1536,4096,1536,0.01036934922268115,0.12357394402878986,18.662265467297786,1799.752816355854
model.layers.3.mamba.in_proj,16768x4096,16768,4096,0.010225033647447014,0.035492077550839635,432.3751754003258,42285.9415732369
model.layers.3.mamba.out_proj,4096x8192,4096,8192,0.010379002086463656,0.018539632501085528,199.18370903953814,19191.026977373334
model.layers.4.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010112257666210702,0.03243597599758363,2882.328536686459,285033.1381801641
model.layers.4.block_sparse_moe.output_linear,72x4096x768,294912,768,0.01012443526249882,0.16785894139673715,1403.2085481760755,138596.22900386332
model.layers.4.block_sparse_moe.router.layer,72x4096,72,4096,0.009209764138871469,0.1022207903894459,2.190127809392059,237.80498353353374
model.layers.4.shared_mlp.input_linear,3072x4096,3072,4096,0.010236749243806787,0.050352584245863044,26.613431010850412,2599.793193816043
model.layers.4.shared_mlp.output_linear,4096x1536,4096,1536,0.010391250252573807,0.15224878302435732,12.486510005337394,1201.636925474354
model.layers.4.mamba.in_proj,16768x4096,16768,4096,0.010217266073331068,0.03318937121606253,451.2670491631436,44167.103599370195
model.layers.4.mamba.out_proj,4096x8192,4096,8192,0.010280024646445885,0.01992282205598961,197.3569718039916,19198.10298044605
model.layers.5.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010110571002379998,0.03226736012768675,2877.999049754958,284652.47403707326
model.layers.5.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010126455477297154,0.16794380891724925,1408.0055231678816,139042.28644707293
model.layers.5.block_sparse_moe.router.layer,72x4096,72,4096,0.00906248935652514,0.10229255578374687,2.1988925371002987,242.6367028521871
model.layers.5.shared_mlp.input_linear,3072x4096,3072,4096,0.010230308903902096,0.05424815512582246,25.262937581862726,2469.42079844987
model.layers.5.shared_mlp.output_linear,4096x1536,4096,1536,0.010565764500786962,0.1901176071856231,12.720508615149294,1203.9364131390437
model.layers.5.self_attn.q_proj,4096x4096,4096,4096,0.00745273076390424,0.11180047554321722,167.72286735627603,22504.887492864636
model.layers.5.self_attn.k_proj,1024x4096,1024,4096,0.007128011653152835,0.12392354517041773,84.02272085556831,11787.680063402211
model.layers.5.self_attn.v_proj,1024x4096,1024,4096,0.009204730759057806,0.056114475792055044,8.28393451733522,899.9648913341125
model.layers.5.self_attn.o_proj,4096x4096,4096,4096,0.010144014369017759,0.08658945741539807,39.33168019784597,3877.3289121094217
model.layers.6.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010112287648973912,0.032273770708770806,2858.69921768878,282695.5993462914
model.layers.6.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010127059645172515,0.1681026950567194,1408.5612657059785,139088.86834466585
model.layers.6.block_sparse_moe.router.layer,72x4096,72,4096,0.009343776253553093,0.10505273675068019,2.540412707890985,271.8828703678515
model.layers.6.shared_mlp.input_linear,3072x4096,3072,4096,0.010228347632617523,0.05479738271469189,26.21372971582489,2562.85087849684
model.layers.6.shared_mlp.output_linear,4096x1536,4096,1536,0.010618243225613297,0.2230683094149359,13.0660532502967,1230.5287204929346
model.layers.6.mamba.in_proj,16768x4096,16768,4096,0.010191654056997314,0.032812737100546684,435.7516384200779,42755.73287546025
model.layers.6.mamba.out_proj,4096x8192,4096,8192,0.010272434560883148,0.019030961435177074,197.57007544097578,19233.03324737755
model.layers.7.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010110975907020762,0.03224174766187349,2865.0101751625543,283356.44368148246
model.layers.7.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010121510247997541,0.1681048941676105,1412.4553656640505,139549.86272364773
model.layers.7.block_sparse_moe.router.layer,72x4096,72,4096,0.009171144037335743,0.10293752881321146,2.322643825800484,253.255626162341
model.layers.7.shared_mlp.input_linear,3072x4096,3072,4096,0.010241109059478157,0.06037578737411781,25.360301715042027,2476.323762177988
model.layers.7.shared_mlp.output_linear,4096x1536,4096,1536,0.010554380544641914,0.22304306095539234,12.365451928928577,1171.594285105257
model.layers.7.mamba.in_proj,16768x4096,16768,4096,0.010202019515998901,0.032863760691782096,441.0927129596587,43235.82328654959
model.layers.7.mamba.out_proj,4096x8192,4096,8192,0.010280146986387687,0.019468609751276258,195.02514462103807,18971.046316679895
model.layers.8.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010115083955409424,0.03221988381190378,2872.6953252913763,284001.13513196236
model.layers.8.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010124657151436333,0.16826917988416154,1417.341751152611,139989.1107375957
model.layers.8.block_sparse_moe.router.layer,72x4096,72,4096,0.009116591276464537,0.10278205705344451,1.98824519798154,218.09085629564302
model.layers.8.shared_mlp.input_linear,3072x4096,3072,4096,0.010223715989012144,0.07146867722494445,26.127134375148813,2555.541879609013
model.layers.8.shared_mlp.output_linear,4096x1536,4096,1536,0.010300284194792168,0.22539436973038007,11.572999798984227,1123.5612124989275
model.layers.8.mamba.in_proj,16768x4096,16768,4096,0.010214807220104805,0.03298316905768074,432.25701701603214,42316.70825517519
model.layers.8.mamba.out_proj,4096x8192,4096,8192,0.010313399521918449,0.019262017253667472,195.24165269117148,18930.872626066324
model.layers.9.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010118269415071506,0.0321726610505379,2922.228806051993,288807.1750391657
model.layers.9.block_sparse_moe.output_linear,72x4096x768,294912,768,0.0101351431960754,0.1686509574918956,1431.9860693140145,141289.1797985171
model.layers.9.block_sparse_moe.router.layer,72x4096,72,4096,0.008569767603175,0.10991570575072594,1.187964962340405,138.62277454295
model.layers.9.shared_mlp.input_linear,3072x4096,3072,4096,0.010265131869153616,0.06965868333708662,22.92488270595833,2233.276980576046
model.layers.9.shared_mlp.output_linear,4096x1536,4096,1536,0.010365547745260094,0.20492241781178858,9.969905615957297,961.831044627264
model.layers.9.mamba.in_proj,16768x4096,16768,4096,0.010263668442707949,0.0331654753266949,448.3535032742229,43683.5528911464
model.layers.9.mamba.out_proj,4096x8192,4096,8192,0.010237321471556763,0.01914727650384472,186.3501093298068,18203.014318497222
model.layers.10.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010125954457763157,0.03221246680496511,2928.0386290886354,289161.74186857295
model.layers.10.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010132157679961827,0.16877219710499652,1439.460438211123,142068.49949225681
model.layers.10.block_sparse_moe.router.layer,72x4096,72,4096,0.008498936121113946,0.10942930335758767,0.9840530506848106,115.78543910220989
model.layers.10.shared_mlp.input_linear,3072x4096,3072,4096,0.010300335086577404,0.0661328663345296,23.320415775910888,2264.044381070694
model.layers.10.shared_mlp.output_linear,4096x1536,4096,1536,0.010499747076769862,0.20350507454597788,10.781199741868786,1026.8056614165139
model.layers.10.mamba.in_proj,16768x4096,16768,4096,0.010247051282416611,0.033371731050538624,432.72363981427327,42229.08892403064
model.layers.10.mamba.out_proj,4096x8192,4096,8192,0.010339780771401439,0.019813517627544124,184.8458815348761,17877.156742639752
model.layers.11.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010126113968220248,0.032076645541290486,2951.6093583091347,291484.9040384547
model.layers.11.block_sparse_moe.output_linear,72x4096x768,294912,768,0.0101451373103797,0.16936088774305144,1445.5786228288384,142489.80359781205
model.layers.11.block_sparse_moe.router.layer,72x4096,72,4096,0.00841213717110873,0.11601388664094307,0.7049712944178544,83.80406549230561
model.layers.11.shared_mlp.input_linear,3072x4096,3072,4096,0.010273947078692754,0.06834724918639243,22.489143051284547,2188.948695085749
model.layers.11.shared_mlp.output_linear,4096x1536,4096,1536,0.01042230908181905,0.18665034503991948,9.935159055489649,953.2589158021424
model.layers.11.mamba.in_proj,16768x4096,16768,4096,0.010285661292614086,0.033011426494548406,437.37161548081895,42522.45947422809
model.layers.11.mamba.out_proj,4096x8192,4096,8192,0.010274258686113412,0.019267469523679064,186.145804242385,18117.687117804213
model.layers.12.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010126246941553868,0.03229530926328867,2938.789081947368,290215.03217424126
model.layers.12.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010145374045790578,0.16975280457424807,1449.65588446644,142888.3625111799
model.layers.12.block_sparse_moe.router.layer,72x4096,72,4096,0.00858512950715624,0.11071330088551472,0.7311419159883635,85.16376082374893
model.layers.12.shared_mlp.input_linear,3072x4096,3072,4096,0.010286903289725412,0.0726821619979231,22.962807372012307,2232.237119886956
model.layers.12.shared_mlp.output_linear,4096x1536,4096,1536,0.010526907009819498,0.21789574299177128,11.010677303725517,1045.9555967821088
model.layers.12.mamba.in_proj,16768x4096,16768,4096,0.010271651821295611,0.03325083684610826,430.26861333502586,41888.9406320194
model.layers.12.mamba.out_proj,4096x8192,4096,8192,0.010333050178744493,0.01942348379883091,187.0205962529788,18099.26333636585
model.layers.13.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010127093955229548,0.03299544426424937,2960.7006418660303,292354.41627725284
model.layers.13.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010145246054456797,0.16940107191544154,1448.211393262859,142747.78408421756
model.layers.13.block_sparse_moe.router.layer,72x4096,72,4096,0.0085738833532019,0.10723823102370657,0.7569199024369058,88.28203875134778
model.layers.13.shared_mlp.input_linear,3072x4096,3072,4096,0.010300120809195979,0.07930966881076192,24.00192612553407,2330.2567581639505
model.layers.13.shared_mlp.output_linear,4096x1536,4096,1536,0.010532845983861155,0.21348425270290664,11.011093516494347,1045.405347554306
model.layers.13.mamba.in_proj,16768x4096,16768,4096,0.010335323884067469,0.03298666870232575,435.65301244997454,42151.849069922246
model.layers.13.mamba.out_proj,4096x8192,4096,8192,0.010307674501426854,0.019865916087534977,185.5425386917119,18000.426639978585
model.layers.14.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010124143686836782,0.03227952984167509,3023.3159693762827,298624.36398518726
model.layers.14.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010131118662701203,0.16931899749388127,1458.5659897087628,143968.89803281345
model.layers.14.block_sparse_moe.router.layer,72x4096,72,4096,0.008676801636866079,0.10894668509096238,0.6767705895634181,77.99770213576724
model.layers.14.shared_mlp.input_linear,3072x4096,3072,4096,0.010286117453422634,0.07746823355005032,26.796924147060935,2605.1544004238885
model.layers.14.shared_mlp.output_linear,4096x1536,4096,1536,0.010373292036676115,0.22067086490631227,13.666321315030387,1317.4526723735669
model.layers.14.mamba.in_proj,16768x4096,16768,4096,0.01031952989311031,0.03366367762279776,439.70464978960524,42608.98067490147
model.layers.14.mamba.out_proj,4096x8192,4096,8192,0.010383452235041484,0.018987511119098202,189.4879642138493,18249.033165903733
model.layers.15.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010128930327311403,0.03218665170019599,3009.4544991883904,297114.73985300993
model.layers.15.block_sparse_moe.output_linear,72x4096x768,294912,768,0.01013748404788088,0.16944939250558433,1451.5969389448055,143191.04543974542
model.layers.15.block_sparse_moe.router.layer,72x4096,72,4096,0.008506936335988598,0.11100147802357878,0.5251201643771048,61.72846999637035
model.layers.15.shared_mlp.input_linear,3072x4096,3072,4096,0.010264808273891509,0.07819309122778688,31.882399193110675,3105.9907153067247
model.layers.15.shared_mlp.output_linear,4096x1536,4096,1536,0.010389606201803092,0.17794029000040026,17.03480750784887,1639.6008835149612
model.layers.15.self_attn.q_proj,4096x4096,4096,4096,0.010241556994687163,0.035237513454660495,165.64742134854484,16174.04672302023
model.layers.15.self_attn.k_proj,1024x4096,1024,4096,0.01024585577956718,0.04016119162507273,61.421459934601984,5994.761321654738
model.layers.15.self_attn.v_proj,1024x4096,1024,4096,0.010117335448696847,0.040977316051892435,4.602705704652566,454.93259840914067
model.layers.15.self_attn.o_proj,4096x4096,4096,4096,0.010126400691335843,0.05550593132024143,50.61772963301391,4998.590434637104
model.layers.16.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010125825216115478,0.032239323433478684,2980.822432028767,294378.22285187396
model.layers.16.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010135584480429385,0.16940151624259248,1461.234871944921,144168.78225092916
model.layers.16.block_sparse_moe.router.layer,72x4096,72,4096,0.008652317136403642,0.11163630090122574,0.5732788871451842,66.25726705429906
model.layers.16.shared_mlp.input_linear,3072x4096,3072,4096,0.010212038124996346,0.07126234037505888,36.09981385060547,3535.025369934994
model.layers.16.shared_mlp.output_linear,4096x1536,4096,1536,0.0103418743022646,0.17111403792533422,17.455530388886267,1687.8497918954558
model.layers.16.mamba.in_proj,16768x4096,16768,4096,0.010291171950337855,0.032835410784388286,433.3464699970335,42108.563736786746
model.layers.16.mamba.out_proj,4096x8192,4096,8192,0.010324259923768814,0.019610253969073066,188.13005431789293,18222.13463308633
model.layers.17.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010128305579709776,0.03220320299081179,2981.4800664589247,294371.06167410465
model.layers.17.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010128390586824465,0.16925601031092974,1477.428491781165,145870.01548924076
model.layers.17.block_sparse_moe.router.layer,72x4096,72,4096,0.008753685787724352,0.10837980968957918,0.6730092251968172,76.88295439397714
model.layers.17.shared_mlp.input_linear,3072x4096,3072,4096,0.010214526894269044,0.07553768207968414,31.003923934474056,3035.277527329151
model.layers.17.shared_mlp.output_linear,4096x1536,4096,1536,0.010366463426802258,0.19739693755758805,14.611395254487832,1409.4869824853092
model.layers.17.mamba.in_proj,16768x4096,16768,4096,0.01027861304954523,0.032829729325351165,425.22492601277895,41369.87392784406
model.layers.17.mamba.out_proj,4096x8192,4096,8192,0.01036190146207215,0.019542867056374726,183.63784432777203,17722.40789974165
model.layers.18.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010132351180348583,0.03215355020990694,2978.442101104032,293953.69821770873
model.layers.18.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010128775720587646,0.1694407881961926,1482.0753906895438,146323.25086210493
model.layers.18.block_sparse_moe.router.layer,72x4096,72,4096,0.008537264431000896,0.11241652734256868,0.6104093376675557,71.49940623263467
model.layers.18.shared_mlp.input_linear,3072x4096,3072,4096,0.010216952370117943,0.07793106451982518,29.672362744888446,2904.228352054646
model.layers.18.shared_mlp.output_linear,4096x1536,4096,1536,0.010247738620751486,0.21037460049447393,13.897954433727154,1356.1972009692017
model.layers.18.mamba.in_proj,16768x4096,16768,4096,0.010259125218402937,0.03274480974657004,431.96205286194737,42105.15454934587
model.layers.18.mamba.out_proj,4096x8192,4096,8192,0.01025230211886834,0.01939958786243391,185.08710017411693,18053.223366631242
model.layers.19.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010142221801090702,0.03223979851511291,2974.912491429158,293319.60489261174
model.layers.19.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010139097826244283,0.16941872396067958,1487.134908802386,146673.29719938696
model.layers.19.block_sparse_moe.router.layer,72x4096,72,4096,0.008579857728256429,0.11392960760237383,0.6147933223955304,71.65542155446285
model.layers.19.shared_mlp.input_linear,3072x4096,3072,4096,0.010307388719199928,0.08067452169000977,29.203771308657384,2833.285141779752
model.layers.19.shared_mlp.output_linear,4096x1536,4096,1536,0.01031783598264311,0.21725171472283836,13.504768523193032,1308.8760614058074
model.layers.19.mamba.in_proj,16768x4096,16768,4096,0.010278356836515963,0.03273290338975269,432.4987979406636,42078.59338023012
model.layers.19.mamba.out_proj,4096x8192,4096,8192,0.010264047945199044,0.01896098183011065,182.6280512665467,17792.985013478043
model.layers.20.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010134838406549551,0.03221862387856686,2980.4606979826494,294080.7320673759
model.layers.20.block_sparse_moe.output_linear,72x4096x768,294912,768,0.01013291242391151,0.1695099189481458,1494.5171308073552,147491.36953760835
model.layers.20.block_sparse_moe.router.layer,72x4096,72,4096,0.008630285658356664,0.11093890516976161,0.6373708036508067,73.8528049802898
model.layers.20.shared_mlp.input_linear,3072x4096,3072,4096,0.010319831534584632,0.0837644782732986,27.3705778946875,2652.231075959047
model.layers.20.shared_mlp.output_linear,4096x1536,4096,1536,0.010336899954577362,0.21291903357390693,12.415433608694535,1201.0790143322188
model.layers.20.mamba.in_proj,16768x4096,16768,4096,0.01027219853211393,0.0327615345533943,428.80757782563455,41744.47918671502
model.layers.20.mamba.out_proj,4096x8192,4096,8192,0.010306576066638236,0.019144477252014208,181.26922158559478,17587.724615195177
model.layers.21.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010151036419400709,0.03223452212512444,2977.1992867491795,293290.1788293402
model.layers.21.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010131013265853975,0.16944279567513337,1494.1543603505706,147483.2103306523
model.layers.21.block_sparse_moe.router.layer,72x4096,72,4096,0.008531250812744416,0.11397852563111112,0.5932991020523555,69.54421046513545
model.layers.21.shared_mlp.input_linear,3072x4096,3072,4096,0.010377360522375652,0.08375093421824194,27.5803500357978,2657.742301265248
model.layers.21.shared_mlp.output_linear,4096x1536,4096,1536,0.010447448771358342,0.21162569731719322,12.69032972623243,1214.6821682459877
model.layers.21.mamba.in_proj,16768x4096,16768,4096,0.010295581071683055,0.033127771511322485,429.36399851742794,41703.71691777065
model.layers.21.mamba.out_proj,4096x8192,4096,8192,0.010243853161449233,0.019293887930721156,179.48484831742596,17521.224239418287
model.layers.22.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010146804619735932,0.032214541997248276,2976.8178443764778,293374.9052964369
model.layers.22.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010134847272559833,0.16956777731461806,1500.0193435650935,148006.1122999264
model.layers.22.block_sparse_moe.router.layer,72x4096,72,4096,0.008547721408825051,0.11671467108663452,0.5878104452693864,68.76808650577972
model.layers.22.shared_mlp.input_linear,3072x4096,3072,4096,0.010375784031118575,0.0803846584762088,26.409547946787157,2545.306250359573
model.layers.22.shared_mlp.output_linear,4096x1536,4096,1536,0.010495688467407036,0.1749122435974281,12.211869282363505,1163.5129339333803
model.layers.22.mamba.in_proj,16768x4096,16768,4096,0.010316537990770659,0.032994382299544975,420.1714778465606,40727.95333303214
model.layers.22.mamba.out_proj,4096x8192,4096,8192,0.01031136297113459,0.019615552373744044,177.1611376627344,17181.15618261868
model.layers.23.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010148639676724004,0.03225753023541887,2980.184808666769,293653.6229088761
model.layers.23.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010139068054204023,0.16965228258852647,1496.2312049886436,147570.8809714767
model.layers.23.block_sparse_moe.router.layer,72x4096,72,4096,0.008407337817665948,0.1131535458035237,0.44760398304904875,53.23968094971982
model.layers.23.shared_mlp.input_linear,3072x4096,3072,4096,0.010448528138048177,0.07806304290221329,28.813381217728963,2757.649770095887
model.layers.23.shared_mlp.output_linear,4096x1536,4096,1536,0.010589397094539238,0.22887303673194304,13.42060134215639,1267.3621758010333
model.layers.23.mamba.in_proj,16768x4096,16768,4096,0.010309493009291655,0.03317987123996416,416.9527660710522,40443.57619674066
model.layers.23.mamba.out_proj,4096x8192,4096,8192,0.010267469954126246,0.019919756891528594,178.8006014217799,17414.280462532475
model.layers.24.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010153315811237695,0.03225213911365257,3057.3083988076646,301114.2818411926
model.layers.24.block_sparse_moe.output_linear,72x4096x768,294912,768,0.01013870272468696,0.1699103595080232,1522.7719264704033,150193.96147818508
model.layers.24.block_sparse_moe.router.layer,72x4096,72,4096,0.008506075561675559,0.11602601259208906,0.4462139342513424,52.458261276419414
model.layers.24.shared_mlp.input_linear,3072x4096,3072,4096,0.010437696584144396,0.07796550237843246,26.02027222814178,2492.9132609265944
model.layers.24.shared_mlp.output_linear,4096x1536,4096,1536,0.010494061171730464,0.2155347737982285,13.49970693102275,1286.4139735900412
model.layers.24.mamba.in_proj,16768x4096,16768,4096,0.010373243474626112,0.03339793073719595,425.0826155576445,40978.75622002268
model.layers.24.mamba.out_proj,4096x8192,4096,8192,0.010347292177601638,0.019789632588640964,177.5568011861873,17159.735913376186
model.layers.25.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.010135107711410999,0.032125580458461436,2996.2972808494374,295635.4649764542
model.layers.25.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010137509847076748,0.1699445031997779,1503.9800098439175,148357.93331215408
