layer,drift,weight,budget,notes
0,0.818182,0.839242,86,-17_vs_flat;prefilter_global_alloc=2
1,0.814394,0.856727,88,-15_vs_flat;prefilter_global_alloc=2
2,0.810606,0.874211,90,-13_vs_flat;prefilter_global_alloc=2
3,0.810606,0.874211,90,-13_vs_flat;prefilter_global_alloc=3
4,0.818182,0.839242,86,-17_vs_flat;prefilter_global_alloc=3
5,0.829545,0.786790,81,-22_vs_flat;prefilter_global_alloc=3
6,0.833333,0.769305,79,-24_vs_flat;prefilter_global_alloc=3
7,0.856061,0.664400,68,-35_vs_flat;prefilter_global_alloc=3
8,0.848485,0.699369,72,-31_vs_flat;prefilter_global_alloc=3
9,0.829545,0.786790,81,-22_vs_flat;prefilter_global_alloc=5
10,0.837121,0.751821,77,-26_vs_flat;prefilter_global_alloc=5
11,0.814394,0.856727,88,-15_vs_flat;prefilter_global_alloc=5
12,0.825758,0.804274,83,-20_vs_flat;prefilter_global_alloc=6
13,0.810606,0.874211,90,-13_vs_flat;prefilter_global_alloc=7
14,0.806818,0.891695,92,-11_vs_flat;prefilter_global_alloc=8
15,0.810606,0.874211,90,-13_vs_flat;prefilter_global_alloc=11
16,0.799242,0.926663,95,-8_vs_flat;prefilter_global_alloc=11
17,0.806818,0.891695,92,-11_vs_flat;prefilter_global_alloc=13
18,0.821970,0.821758,85,-18_vs_flat;prefilter_global_alloc=15
19,0.787879,0.979116,101,-2_vs_flat;prefilter_global_alloc=15
20,0.791667,0.961632,99,-4_vs_flat;prefilter_global_alloc=20
21,0.784091,0.996600,103,flat;prefilter_global_alloc=25
22,0.780303,1.014085,105,+2_vs_flat;prefilter_global_alloc=37
23,0.750000,1.153958,119,+16_vs_flat;prefilter_global_alloc=43
24,0.750000,1.153958,119,+16_vs_flat;prefilter_global_alloc=54
25,0.761364,1.101506,114,+11_vs_flat;prefilter_global_alloc=54
26,0.768939,1.066537,110,+7_vs_flat;prefilter_global_alloc=67
27,0.757576,1.118990,115,+12_vs_flat;prefilter_global_alloc=82
28,0.761364,1.101506,114,+11_vs_flat;prefilter_global_alloc=108
29,0.753788,1.136474,117,+14_vs_flat;prefilter_global_alloc=161
30,0.727273,1.258864,130,+27_vs_flat;late_stable_prior;prefilter_global_alloc=254
31,0.704545,1.363769,141,+38_vs_flat;late_stable_prior;prefilter_global_alloc=319
32,0.700758,1.381253,142,+39_vs_flat;late_stable_prior;prefilter_global_alloc=426
33,0.674242,1.503643,155,+52_vs_flat;late_stable_prior;prefilter_global_alloc=526
34,0.662879,1.556095,160,+57_vs_flat;late_stable_prior;prefilter_global_alloc=666
35,0.681818,1.468674,151,+48_vs_flat;late_stable_prior;prefilter_global_alloc=741
