model,trace_id,label,predicted_score,fold_or_note,features_used
ibm-granite/granite-4.0-h-small,0,1,0.000000,granite_loo_trace_0;stump:layer_mean_cv_100_300:le:1.20697:train_ba=1.000,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,1,0,0.125000,granite_loo_trace_1;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,2,0,0.125000,granite_loo_trace_2;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,3,1,1.000000,granite_loo_trace_3;stump:layer_mean_cv_100_300:le:1.2024:train_ba=0.833,stump:layer_mean_cv_100_300:le:1.2024
ibm-granite/granite-4.0-h-small,4,0,0.125000,granite_loo_trace_4;stump:layer_mean_cv_100_300:le:1.20764:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20764
ibm-granite/granite-4.0-h-small,5,0,0.125000,granite_loo_trace_5;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,6,1,0.111111,granite_loo_trace_6;stump:input_token_count:le:86:train_ba=0.833,stump:input_token_count:le:86
ibm-granite/granite-4.0-h-small,7,0,0.125000,granite_loo_trace_7;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,8,0,0.125000,granite_loo_trace_8;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,9,0,0.125000,granite_loo_trace_9;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,10,0,0.125000,granite_loo_trace_10;stump:layer_mean_cv_100_300:le:1.20697:train_ba=0.875,stump:layer_mean_cv_100_300:le:1.20697
ibm-granite/granite-4.0-h-small,11,1,0.111111,granite_loo_trace_11;stump:input_token_count:le:86:train_ba=0.833,stump:input_token_count:le:86
tiiuae/Falcon-H1-0.5B-Instruct,0,0,0.000000,falcon_loo_trace_0;loo_no_fit_single_class_train,none_nonleaky_train_single_class
tiiuae/Falcon-H1-0.5B-Instruct,1,0,0.000000,falcon_loo_trace_1;loo_no_fit_single_class_train,none_nonleaky_train_single_class
