surface,implementation_surface,metric,cached_artifact,base_position,final_position,trace_count,layer_count,channel_count_or_native_dim,value,ci95_low,ci95_high,availability,interpretation
post_block_output_phase9_trace_strict,transformer_layer_forward_output,top1pct_trace_strict_set_leaving,experimental/outlier_migrate/phase9/results/om_phase9_mpred_falcon_extension_20260528T011658Z/activation_magnitudes.jsonl.gz,100,10000,12,36,1024,0.6390993265993266,0.5883838383838383,0.6893939393939394,cached_computed,high_post_block_drift_on_current_dense_falcon_packet
post_block_output_phase9_funnel_layer_strict,transformer_layer_forward_output,top1pct_layer_endpoint_strict_set_leaving,artifacts/funnel_prefilters/decision.json,100,10000,12,36,1024,0.340909,NA,NA,cached_from_funnel_prefilter,layer_aggregated_post_block_endpoint_readout_not_trace_paired
post_block_output_phase9_funnel_top10_jaccard,transformer_layer_forward_output,top10pct_layer_endpoint_jaccard_drift,artifacts/funnel_prefilters/decision.json,100,10000,12,36,1024,0.478773,NA,NA,cached_from_funnel_prefilter,latest_orchestrated_funnel_post_block_layer_heterogeneity_signal
post_block_output_phase9_funnel_late_churn,transformer_layer_forward_output,top10pct_late_adjacent_churn_median,artifacts/funnel_prefilters/decision.json,3000,10000,12,36,1024,0.297521,NA,NA,cached_from_funnel_prefilter,HYST_gate_signal_not_branch_local
post_block_output_phase9_math_crossprompt,transformer_layer_forward_output,top1pct_trace_strict_set_leaving,experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z/model_runs/falcon_h1/metrics.json,100,20000,30,36,1024,0.6753367003367003,0.6491582491582492,0.7018518518518518,cached_existing,cross_prompt_math_post_block_replication_near_phase7_aime
post_block_output_phase7_trace_strict,transformer_layer_forward_output,top1pct_trace_strict_set_leaving,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/migration_decomposition.json,100,20000,24,36,1024,0.6736111111111112,0.6325757575757576,0.7136994949494949,cached_existing,high_long_horizon_post_block_drift
attention_pre_o_proj_native,FalconH1Attention.attn_output_before_o_proj,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,512,NA,NA,NA,missing_cache_hook_required,no_cached_attention_native_branch_activation
attention_projected_presum,FalconH1DecoderLayer.attention_hidden_states_before_branch_sum,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,1024,NA,NA,NA,missing_cache_hook_required,no_cached_attention_projected_branch_activation
mamba_pre_out_proj_native,FalconH1Mixer.scan_output_before_out_proj,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,1536,NA,NA,NA,missing_cache_hook_required,no_cached_mamba_native_branch_activation
mamba_projected_presum,FalconH1DecoderLayer.mamba_hidden_states_before_branch_sum,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,1024,NA,NA,NA,missing_cache_hook_required,no_cached_mamba_projected_branch_activation
post_mixer_pre_residual,FalconH1DecoderLayer.branch_sum_before_residual,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,1024,NA,NA,NA,missing_cache_hook_required,no_cached_pre_residual_mixer_sum_activation
mamba_gate_optional,FalconH1Mixer.gate_projection_split,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,1536,NA,NA,NA,optional_missing_cache_hook_required,no_cached_mamba_gate_activation
mlp_gate_optional,FalconH1MLP.gate_and_up_product_before_down_proj,top1pct_strict_set_leaving,none_found,100,10000,NA,NA,2048,NA,NA,NA,optional_missing_cache_hook_required,no_cached_mlp_gate_activation
