model_width_label,D_out,K,bytes_deltaW,bytes_x,bytes_index,residual_weight_bytes_per_token,activation_bytes_per_token,index_bytes_per_token,extra_hbm_bytes_per_token_fused,optional_output_read_write_bytes,extra_hbm_bytes_per_token_unfused,correction_macs_per_token,hot_working_set_bytes,energy_pj_token_low_fused,energy_pj_token_high_unfused
DeepSeek-R1-Distill-Qwen-1.5B,1536,4,2,2,2,12288,8,8,12304,6144,18448,6144,12304,129184.0,399680.0
DeepSeek-R1-Distill-Qwen-1.5B,1536,8,2,2,2,24576,16,16,24608,6144,30752,12288,24608,258368.0,676480.0
DeepSeek-R1-Distill-Qwen-1.5B,1536,16,2,2,2,49152,32,32,49216,6144,55360,24576,49216,516736.0,1230080.0
DeepSeek-R1-Distill-Qwen-1.5B,1536,32,2,2,2,98304,64,64,98432,6144,104576,49152,98432,1033472.0,2337280.0
Falcon-H1,2048,4,2,2,2,16384,8,8,16400,8192,24592,8192,16400,172192.0,532800.0
Falcon-H1,2048,8,2,2,2,32768,16,16,32800,8192,40992,16384,32800,344384.0,901760.0
Falcon-H1,2048,16,2,2,2,65536,32,32,65600,8192,73792,32768,65600,688768.0,1639680.0
Falcon-H1,2048,32,2,2,2,131072,64,64,131200,8192,139392,65536,131200,1377536.0,3115520.0
Nemotron-3-Nano,2688,4,2,2,2,21504,8,8,21520,10752,32272,10752,21520,225952.0,699200.0
Nemotron-3-Nano,2688,8,2,2,2,43008,16,16,43040,10752,53792,21504,43040,451904.0,1183360.0
Nemotron-3-Nano,2688,16,2,2,2,86016,32,32,86080,10752,96832,43008,86080,903808.0,2151680.0
Nemotron-3-Nano,2688,32,2,2,2,172032,64,64,172160,10752,182912,86016,172160,1807616.0,4088320.0
Granite-4.0-H-Small,4096,4,2,2,2,32768,8,8,32784,16384,49168,16384,32784,344224.0,1065280.0
Granite-4.0-H-Small,4096,8,2,2,2,65536,16,16,65568,16384,81952,32768,65568,688448.0,1802880.0
Granite-4.0-H-Small,4096,16,2,2,2,131072,32,32,131136,16384,147520,65536,131136,1376896.0,3278080.0
Granite-4.0-H-Small,4096,32,2,2,2,262144,64,64,262272,16384,278656,131072,262272,2753792.0,6228480.0
