model,fold_or_trace,chosen_policy,oracle_best,baseline_policy,gain,notes
Granite,1,m11b_top5,m11b_top5,static,1.36866284189,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.2656136129980697, ""m11b_top5"": -0.2829037271858871, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.811006 ? m11b_top5 : static; train_rule_mean=0.43144990403"
Granite,2,m11b_top5,m11b_top5,static,1.00079062655,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.3087629041036757, ""m11b_top5"": -0.23035055356516182, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.811006 ? m11b_top5 : static; train_rule_mean=0.484003077651"
Granite,4,m11b_top5,static,m11b_top5,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.22348128737893505, ""m11b_top5"": 0.30150896773694835, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.758409 ? m11b_top5 : static; train_rule_mean=0.626973167157"
Granite,5,m11b_top5,m11b_top5,static,1.00036453443,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.4172471027713622, ""m11b_top5"": -0.2302896832622481, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.811006 ? m11b_top5 : static; train_rule_mean=0.484063947954"
Granite,7,m11b_top5,static,m11b_top5,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.1704566286673195, ""m11b_top5"": 0.23808373536212238, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.811368 ? m11b_top5 : static; train_rule_mean=0.626973167157"
Granite,8,static,m11b_top10,static,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.3087542036568547, ""m11b_top5"": -0.10458417619920522, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.809094 ? m11b_top5 : static; train_rule_mean=0.609769455017"
Granite,9,m11b_top5,m11b_top5,static,0.70404558917,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.3450634587622148, ""m11b_top5"": -0.18795840536841263, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.811006 ? m11b_top5 : static; train_rule_mean=0.526395225847"
Granite,10,m11b_top5,m11b_top10,static,0.194522593079,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -1.3281368493086343, ""m11b_top5"": -0.11516940592679867, ""static"": 0.0}; rule=stump:early_churn_top5<= 0.811006 ? m11b_top5 : static; train_rule_mean=0.599184225289"
Nemotron,0,m11b_top5,m11b_top5,m11b_top10,0.437536310415,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.6579360692171664, ""m11b_top5"": 0.5125030706467542, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.575047 ? m11b_top5 : m11b_top10; train_rule_mean=0.733594493748"
Nemotron,1,m11b_top5,m11b_top10,m11b_top10,-0.247157797273,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.5455691725245146, ""m11b_top5"": 0.4762132970305394, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.575047 ? m11b_top5 : m11b_top10; train_rule_mean=0.697304720132"
Nemotron,2,m11b_top5,m11b_top10,m11b_top10,-0.304796683844,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.6020586516281263, ""m11b_top5"": 0.5391070968641932, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.677645 ? m11b_top5 : m11b_top10; train_rule_mean=0.726332221761"
Nemotron,5,m11b_top10,m11b_top10,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.5855031537295877, ""m11b_top5"": 0.4896117045754775, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.575047 ? m11b_top5 : m11b_top10; train_rule_mean=0.709776723862"
Nemotron,6,m11b_top10,m11b_top5,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.7054195925835219, ""m11b_top5"": 0.5381744700564435, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.552644 ? m11b_top5 : m11b_top10; train_rule_mean=0.759265893158"
Nemotron,7,m11b_top10,m11b_top10,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.5893022622004807, ""m11b_top5"": 0.504935832042515, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.575047 ? m11b_top5 : m11b_top10; train_rule_mean=0.713575832333"
Nemotron,8,m11b_top10,m11b_top10,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.5872748962468595, ""m11b_top5"": 0.5595118767346149, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.575047 ? m11b_top5 : m11b_top10; train_rule_mean=0.71154846638"
Nemotron,9,m11b_top10,m11b_top10,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.6433395004504769, ""m11b_top5"": 0.5922212851988797, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.575047 ? m11b_top5 : m11b_top10; train_rule_mean=0.767613070583"
Nemotron,10,m11b_top5,m11b_top10,m11b_top10,-0.531835443877,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.5801276918091072, ""m11b_top5"": 0.5424026659377555, ""static"": 0.0}; rule=stump:top10_margin_1000<= 0.00088212 ? m11b_top5 : m11b_top10; train_rule_mean=0.730936835602"
Nemotron,11,m11b_top10,m11b_top5,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.6793329207423202, ""m11b_top5"": 0.54982193532607, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.00130013 ? m11b_top5 : m11b_top10; train_rule_mean=0.785923913091"
DeepSeek,0,m11b_top10,static,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.06312900977779648, ""m11b_top5"": -0.2805190273722328, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.0023238 ? static : m11b_top10; train_rule_mean=0.241917287164"
DeepSeek,2,static,m11b_top10,static,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.05791042683424141, ""m11b_top5"": -0.3868080072418045, ""static"": 0.0}; rule=stump:early_churn_top10<= 0.793057 ? static : m11b_top10; train_rule_mean=0.129770164894"
DeepSeek,3,m11b_top10,m11b_top5,static,0.436619624063,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.05061028416665758, ""m11b_top5"": -0.39519681837469306, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.00241203 ? static : m11b_top10; train_rule_mean=0.12817799322"
DeepSeek,4,m11b_top10,static,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.1523447976157219, ""m11b_top5"": -0.2249197101198975, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.00332729 ? m11b_top10 : static; train_rule_mean=0.272570245209"
DeepSeek,5,static,m11b_top10,static,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.0790127381768285, ""m11b_top5"": -0.406550085792002, ""static"": 0.0}; rule=stump:early_drift_top5<= 0.788423 ? m11b_top10 : static; train_rule_mean=0.137084358723"
DeepSeek,6,m11b_top10,static,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.03396118116345648, ""m11b_top5"": -0.2420855318211256, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.0023238 ? static : m11b_top10; train_rule_mean=0.21274945855"
DeepSeek,7,static,m11b_top10,static,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.05632600575797806, ""m11b_top5"": -0.34872876082718596, ""static"": 0.0}; rule=stump:top10_margin_1000<= 0.00149376 ? static : m11b_top10; train_rule_mean=0.163371774552"
DeepSeek,8,m11b_top10,m11b_top10,static,0.335389440823,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.040487265842592754, ""m11b_top5"": -0.38206464650952643, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.0023238 ? static : m11b_top10; train_rule_mean=0.138301011544"
DeepSeek,9,static,static,m11b_top10,0.194951580106,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.012546836250247129, ""m11b_top5"": -0.3064294193182518, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.0023238 ? static : m11b_top10; train_rule_mean=0.171839955626"
DeepSeek,10,static,m11b_top10,static,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.04940861300288182, ""m11b_top5"": -0.19387624539011944, ""static"": 0.0}; rule=stump:top10_margin_1000<= 0.00179637 ? static : m11b_top10; train_rule_mean=0.130150096441"
DeepSeek,11,m11b_top10,static,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.002290291370571751, ""m11b_top5"": -0.33225321527865315, ""static"": 0.0}; rule=stump:top5_margin_1000<= 0.0023238 ? static : m11b_top10; train_rule_mean=0.181078568757"
Falcon-H1,0,static,m11b_top10,static,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.01826292264652093, ""m11b_top5"": -0.1660817237902087, ""static"": 0.0}; rule=stump:early_churn_top1<= 0.773398 ? static : m11b_top10; train_rule_mean=0.0768879413427"
Falcon-H1,1,m11b_top10,m11b_top5,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.03593559793166243, ""m11b_top5"": -0.159160763093948, ""static"": 0.0}; rule=stump:early_churn_top1<= 0.76301 ? static : m11b_top10; train_rule_mean=0.109442711964"
Falcon-H1,2,m11b_top10,m11b_top5,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.017897615925873297, ""m11b_top5"": -0.16300609933505575, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.812898 ? static : m11b_top10; train_rule_mean=0.0979777882794"
Falcon-H1,3,m11b_top10,m11b_top5,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.02883246677762015, ""m11b_top5"": -0.16159154118431182, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.752896 ? static : m11b_top10; train_rule_mean=0.10649613791"
Falcon-H1,4,static,m11b_top10,m11b_top10,-0.111431256702,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.012809969478383603, ""m11b_top5"": -0.16586438128861877, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.812898 ? static : m11b_top10; train_rule_mean=0.103020256078"
Falcon-H1,5,static,m11b_top5,m11b_top10,0.14515055455,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.03613558868306843, ""m11b_top5"": -0.16348310098570137, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.812898 ? static : m11b_top10; train_rule_mean=0.103020256078"
Falcon-H1,6,m11b_top10,m11b_top10,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.000948216515536711, ""m11b_top5"": -0.1632617278010566, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.812898 ? static : m11b_top10; train_rule_mean=0.0810283888691"
Falcon-H1,7,m11b_top10,m11b_top10,static,0.382612061705,"loo_recoverable_only; train_baseline_means={""m11b_top10"": -0.011842830976404565, ""m11b_top5"": -0.011904232673377046, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.812898 ? static : m11b_top10; train_rule_mean=0.0682373413772"
Falcon-H1,8,m11b_top5,static,m11b_top10,-0.110428182098,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.0773593097440365, ""m11b_top5"": -0.09226864843267667, ""static"": 0.0}; rule=stump:early_drift_top5<= 0.830803 ? m11b_top5 : m11b_top10; train_rule_mean=0.134641855876"
Falcon-H1,9,m11b_top10,static,m11b_top10,0,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.04458383368054308, ""m11b_top5"": -0.14037762446575194, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.752896 ? static : m11b_top10; train_rule_mean=0.122247504812"
Falcon-H1,10,static,m11b_top10,m11b_top10,-0.164884692972,"loo_recoverable_only; train_baseline_means={""m11b_top10"": 0.007950566181148594, ""m11b_top5"": -0.16721127895586851, ""static"": 0.0}; rule=stump:early_drift_top1<= 0.812898 ? static : m11b_top10; train_rule_mean=0.103020256078"
