model,trace_id,prompt_id,no_gap_flag,static_gap_final_label_do_not_route,recovery_static,recovery_m11b_top5,recovery_m11b_top10,oracle_best,oracle_recovery,early_drift_top1,early_drift_top5,early_drift_top10,early_churn_top1,early_churn_top5,early_churn_top10,top1_margin_1000,top5_margin_1000,top10_margin_1000
Granite,0,opencompass_AIME2025_I_0,True,-0.00118933371791,0,,,,,0.720429288565,0.819527673233,0.863165388781,0.640178362628,0.782791891116,0.834082685816,0.00585836226902,0.000539811105059,0.00028673377767
Granite,1,opencompass_AIME2025_I_1,False,0.0285182075611,0,1.36866284189,-0.0612581819027,m11b_top5,1.36866284189,0.738352748602,0.819550116058,0.862328241905,0.562072626133,0.684313989609,0.724026126245,0.00580954166762,0.000998376430254,0.000556571688879
Granite,2,opencompass_AIME2025_I_2,False,0.0430993896262,0,1.00079062655,0.240786855837,m11b_top5,1.00079062655,0.705000204588,0.785514204418,0.844671724999,0.646415129193,0.778362707072,0.824864723387,0.00460984306634,0.000765027889502,0.000212516692072
Granite,3,opencompass_AIME2025_I_3,True,-6.01239651734e-05,0,,,,,0.673481282457,0.794417797663,0.845800543674,0.702348915769,0.810280342454,0.854767014985,0.0051966387385,0.000823624422789,0.000103171647425
Granite,4,opencompass_AIME2025_I_4,False,0.000772273106085,0,-2.72222602257,-10.4849224845,static,0,0.722430612204,0.808855179999,0.852327314334,0.710850035999,0.812007496061,0.853807854671,0.00611062355813,0.000723290872706,4.57305511312e-05
Granite,5,opencompass_AIME2025_I_5,False,0.0507175894754,0,1.00036453443,1.00017624651,m11b_top5,1.00036453443,0.755229612831,0.817504954462,0.847542038306,0.704245192866,0.800877243903,0.847737215715,0.00616743320352,0.000688702847768,0.000648897800825
Granite,6,opencompass_AIME2025_I_6,True,-1.80428768932e-05,0,,,,,0.671226792352,0.810851069391,0.85604286439,0.652829077609,0.771641360786,0.817129289164,0.0054585207121,0.000594449646811,0.000488965230136
Granite,7,opencompass_AIME2025_I_7,False,0.0107243532352,0,-2.27824939594,-0.727357072218,static,0,0.761588671638,0.832391575449,0.868170272344,0.708945723505,0.811282850924,0.855612608393,0.0042127133973,0.000497743186593,0.000561485485604
Granite,8,opencompass_AIME2025_I_8,False,0.156538448099,0,0.120425984986,0.240725952709,m11b_top10,0.240725952709,0.674593188522,0.825782064881,0.868458131301,0.692822453278,0.810729044894,0.85672112821,0.00523591471232,0.00054303787082,0.000230635656821
Granite,9,opencompass_AIME2025_I_9,False,0.000755097589968,0,0.70404558917,0.494890738446,m11b_top5,0.70404558917,0.703500055041,0.812925586353,0.85483776764,0.715016456917,0.806904485682,0.851654875636,0.00619545272754,0.000466750089991,0.000367743534659
