row_id,contribution,method,surface,status,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,mean_payload_tokens,p50_latency_ms,p95_latency_ms,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,comparator,note
rate_frontier::core seed29,byte-rate systems frontier,2-byte diagnostic packet,core seed29,pass,1.0,0.25,0.25,0.75,0.75,2.0,1.0,0.0023339962353929877,,,,,JSON/free-text/full-log relay,Oracle at 2.0 bytes; JSON/free-text need 21.0/17.0 bytes; query-aware span needs 14.0 bytes; full log is 183.2x larger.
rate_frontier::holdout seed30,byte-rate systems frontier,2-byte diagnostic packet,holdout seed30,pass,1.0,0.25,0.25,0.75,0.75,2.0,1.0,0.002334003511350602,,,,,JSON/free-text/full-log relay,Oracle at 2.0 bytes; JSON/free-text need 21.0/17.0 bytes; query-aware span needs 14.0 bytes; full log is 186.7x larger.
slot_scalar::source_private_tool_trace_control_stability_20260429_seed29_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,1.0,0.25,0.25,0.75,0.75,6.0,,,,,0.712890625,0.654296875,raw sign sketch,raw_sign=0.307; scalar-control delta=0.750
slot_scalar::source_private_tool_trace_control_stability_20260429_seed31_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,1.0,0.25,0.2578125,0.75,0.7421875,6.0,,,,,0.71484375,0.77734375,raw sign sketch,raw_sign=0.188; scalar-control delta=0.742
slot_scalar::source_private_tool_trace_control_stability_20260429_seed33_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,1.0,0.25,0.25,0.75,0.75,6.0,,,,,0.712890625,0.755859375,raw sign sketch,raw_sign=0.207; scalar-control delta=0.750
slot_scalar::source_private_tool_trace_control_stability_20260429_seed35_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,1.0,0.25,0.26171875,0.75,0.73828125,6.0,,,,,0.712890625,0.783203125,raw sign sketch,raw_sign=0.182; scalar-control delta=0.738
slot_scalar::source_private_tool_trace_control_stability_20260429_seed37_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,1.0,0.25,0.25,0.75,0.75,6.0,,,,,0.7109375,0.763671875,raw sign sketch,raw_sign=0.201; scalar-control delta=0.750
slot_scalar::source_private_tool_trace_slot_remap_20260429_seed101,learned scalar packet,6-byte slot/no-intercept scalar packet,remap 101,pass,0.462890625,0.25,0.263671875,0.212890625,0.19921875,6.0,,,,,0.15625,0.072265625,raw sign sketch,raw_sign=0.332; scalar-control delta=0.199
slot_scalar::source_private_tool_trace_slot_remap_20260429_seed103,learned scalar packet,6-byte slot/no-intercept scalar packet,remap 103,pass,0.5078125,0.25,0.265625,0.2578125,0.2421875,6.0,,,,,0.19921875,0.126953125,raw sign sketch,raw_sign=0.316; scalar-control delta=0.242
slot_scalar::source_private_tool_trace_slot_remap_20260429_seed107,learned scalar packet,6-byte slot/no-intercept scalar packet,remap 107,pass,0.4921875,0.25,0.25,0.2421875,0.2421875,6.0,,,,,0.185546875,0.103515625,raw sign sketch,raw_sign=0.330; scalar-control delta=0.242
