row_id,source,contribution,method,surface,budget_bytes,accuracy,target_accuracy,best_control_accuracy,oracle_accuracy,oracle_headroom_vs_target,matched_minus_target,matched_minus_best_control,status,reviewer_bucket,evidence_complete,claim_status,failure_or_boundary_reason
anchor_sparse::core_to_holdout::budget2,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,2-byte AR-SIP,core_to_holdout,2.0,0.2421875,0.25,0.453125,,,-0.0078125,-0.2109375,fail,failed_or_pruned,True,negative_boundary,does not beat target (-0.008); insufficient matched-control delta (-0.211)
anchor_sparse::core_to_holdout::budget4,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,4-byte AR-SIP,core_to_holdout,4.0,0.25,0.25,0.271484375,,,0.0,-0.021484375,fail,failed_or_pruned,True,negative_boundary,does not beat target (0.000); insufficient matched-control delta (-0.021)
anchor_sparse::core_to_holdout::budget6,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,6-byte AR-SIP,core_to_holdout,6.0,0.125,0.25,0.283203125,,,-0.125,-0.158203125,fail,failed_or_pruned,True,negative_boundary,does not beat target (-0.125); insufficient matched-control delta (-0.158)
anchor_sparse::core_to_holdout::budget8,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,8-byte AR-SIP,core_to_holdout,8.0,0.25,0.25,0.375,,,0.0,-0.125,fail,failed_or_pruned,True,negative_boundary,does not beat target (0.000); insufficient matched-control delta (-0.125)
anchor_sparse::holdout_to_core::budget2,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,2-byte AR-SIP,holdout_to_core,2.0,0.49609375,0.25,0.25,,,0.24609375,0.24609375,pass,positive_needs_more_evidence,False,asymmetric_or_incomplete_not_claimed,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator"
anchor_sparse::holdout_to_core::budget4,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,4-byte AR-SIP,holdout_to_core,4.0,0.248046875,0.25,0.25,,,-0.001953125,-0.001953125,fail,failed_or_pruned,True,negative_boundary,does not beat target (-0.002); insufficient matched-control delta (-0.002)
anchor_sparse::holdout_to_core::budget6,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,6-byte AR-SIP,holdout_to_core,6.0,0.26953125,0.25,0.25,,,0.01953125,0.01953125,near-miss,failed_or_pruned,True,negative_boundary,insufficient matched-control delta (0.020)
anchor_sparse::holdout_to_core::budget8,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,anchor-relative sparse packet cross-family falsification,8-byte AR-SIP,holdout_to_core,8.0,0.373046875,0.25,0.26171875,,,0.123046875,0.111328125,pass,weak_positive,False,asymmetric_or_incomplete_not_claimed,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator"
canonical_rasp_cross_family_core_to_holdout,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,canonical RASP cross-family falsification,4-byte canonical RASP,core -> holdout,4.0,0.20703125,0.25,0.494140625,,,-0.04296875,-0.287109375,fail,failed_or_pruned,True,negative_boundary,does not beat target (-0.043); insufficient matched-control delta (-0.287)
canonical_rasp_cross_family_holdout_to_core,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,canonical RASP cross-family falsification,4-byte canonical RASP,holdout -> core,4.0,0.4921875,0.25,0.25,,,0.2421875,0.2421875,pass,positive_needs_more_evidence,False,asymmetric_or_incomplete_not_claimed,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator"
