slice,start,end,rows,policy,correct,selected_eval_accuracy,score_only_bagged_control_accuracy,source_label_copy_eval_accuracy,trained_choice_bias_label_copy_eval_accuracy,best_label_copy_eval_accuracy,selected_minus_best_label_copy,selected_minus_score_only_bagged_control,zero_hidden_control_accuracy,selected_minus_zero_hidden_control,wrong_example_hidden_control_accuracy,selected_minus_wrong_example_hidden_control,candidate_roll_hidden_control_accuracy,selected_minus_candidate_roll_hidden_control,paired_ci95_low_vs_best_label_copy,paired_ci95_high_vs_best_label_copy,paired_ci95_low_vs_score_only_bagged,paired_ci95_high_vs_score_only_bagged,pass_gate
validation_0_1024,0,1024,1024,mean_zscore,525,0.5126953125,0.4619140625,0.4619140625,0.453125,0.4619140625,0.05078125,0.05078125,0.4619140625,0.05078125,0.4375,0.0751953125,0.3896484375,0.123046875,0.0326904296875,0.06887207031249998,0.033203125,0.0673828125,True
validation_0_1024,0,1024,1024,vote,527,0.5146484375,0.4619140625,0.4619140625,0.453125,0.4619140625,0.052734375,0.052734375,0.4619140625,0.052734375,0.42578125,0.0888671875,0.4013671875,0.11328125,0.03515625,0.07180175781249998,0.0346435546875,0.072265625,True
validation_0_1024,0,1024,1024,hybrid_vote_on_score_agreement,531,0.5185546875,0.4619140625,0.4619140625,0.453125,0.4619140625,0.056640625,0.056640625,0.4619140625,0.056640625,0.427734375,0.0908203125,0.3818359375,0.13671875,0.03515625,0.0791015625,0.038037109375,0.076171875,True
validation_1024_2048,1024,2048,1024,mean_zscore,465,0.4541015625,0.4091796875,0.4091796875,0.40234375,0.4091796875,0.044921875,0.044921875,0.4091796875,0.044921875,0.38671875,0.0673828125,0.3720703125,0.08203125,0.02734375,0.0634765625,0.0283203125,0.0634765625,True
validation_1024_2048,1024,2048,1024,vote,478,0.466796875,0.4091796875,0.4091796875,0.40234375,0.4091796875,0.0576171875,0.0576171875,0.4091796875,0.0576171875,0.392578125,0.07421875,0.373046875,0.09375,0.0385498046875,0.07668457031249998,0.0395263671875,0.07668457031249998,True
validation_1024_2048,1024,2048,1024,hybrid_vote_on_score_agreement,477,0.4658203125,0.4091796875,0.4091796875,0.40234375,0.4091796875,0.056640625,0.056640625,0.4091796875,0.056640625,0.3837890625,0.08203125,0.3681640625,0.09765625,0.037109375,0.07570800781249998,0.0375732421875,0.0771484375,True
validation_2048_3072,2048,3072,1024,mean_zscore,491,0.4794921875,0.43359375,0.43359375,0.4345703125,0.43359375,0.0458984375,0.0458984375,0.43359375,0.0458984375,0.416015625,0.0634765625,0.380859375,0.0986328125,0.0287841796875,0.064453125,0.0263671875,0.0634765625,True
validation_2048_3072,2048,3072,1024,vote,495,0.4833984375,0.43359375,0.43359375,0.4345703125,0.43359375,0.0498046875,0.0498046875,0.43359375,0.0498046875,0.4130859375,0.0703125,0.3779296875,0.10546875,0.0307373046875,0.0712890625,0.033203125,0.07082519531249998,True
validation_2048_3072,2048,3072,1024,hybrid_vote_on_score_agreement,497,0.4853515625,0.43359375,0.43359375,0.4345703125,0.43359375,0.0517578125,0.0517578125,0.43359375,0.0517578125,0.4111328125,0.07421875,0.373046875,0.1123046875,0.0322265625,0.0712890625,0.0307373046875,0.0703125,True
validation_3072_4096,3072,4096,1024,mean_zscore,544,0.53125,0.48046875,0.48046875,0.484375,0.48046875,0.05078125,0.05078125,0.48046875,0.05078125,0.455078125,0.076171875,0.4052734375,0.1259765625,0.0322265625,0.06887207031249998,0.0322265625,0.0703125,True
validation_3072_4096,3072,4096,1024,vote,545,0.5322265625,0.48046875,0.48046875,0.484375,0.48046875,0.0517578125,0.0517578125,0.48046875,0.0517578125,0.4423828125,0.08984375,0.4111328125,0.12109375,0.0322265625,0.07180175781249998,0.0322265625,0.07180175781249998,True
validation_3072_4096,3072,4096,1024,hybrid_vote_on_score_agreement,550,0.537109375,0.48046875,0.48046875,0.484375,0.48046875,0.056640625,0.056640625,0.48046875,0.056640625,0.4404296875,0.0966796875,0.3974609375,0.1396484375,0.037109375,0.076171875,0.037109375,0.078125,True
validation_4096_5120,4096,5120,1024,mean_zscore,551,0.5380859375,0.4970703125,0.4970703125,0.5,0.4970703125,0.041015625,0.041015625,0.4970703125,0.041015625,0.4521484375,0.0859375,0.4296875,0.1083984375,0.0224609375,0.060546875,0.0234375,0.0615234375,True
validation_4096_5120,4096,5120,1024,vote,553,0.5400390625,0.4970703125,0.4970703125,0.5,0.4970703125,0.04296875,0.04296875,0.4970703125,0.04296875,0.451171875,0.0888671875,0.4267578125,0.11328125,0.0229248046875,0.06008300781249998,0.0248779296875,0.06398925781249998,True
validation_4096_5120,4096,5120,1024,hybrid_vote_on_score_agreement,555,0.5419921875,0.4970703125,0.4970703125,0.5,0.4970703125,0.044921875,0.044921875,0.4970703125,0.044921875,0.443359375,0.0986328125,0.4130859375,0.12890625,0.0244140625,0.06887207031249998,0.0244140625,0.06496582031249998,True
validation_5120_6144,5120,6144,1024,mean_zscore,569,0.5556640625,0.501953125,0.501953125,0.50390625,0.501953125,0.0537109375,0.0537109375,0.501953125,0.0537109375,0.478515625,0.0771484375,0.4541015625,0.1015625,0.0346435546875,0.07231445312499996,0.0341796875,0.07375488281249998,True
validation_5120_6144,5120,6144,1024,vote,563,0.5498046875,0.501953125,0.501953125,0.50390625,0.501953125,0.0478515625,0.0478515625,0.501953125,0.0478515625,0.48828125,0.0615234375,0.443359375,0.1064453125,0.02734375,0.06789550781249998,0.0297607421875,0.0673828125,True
validation_5120_6144,5120,6144,1024,hybrid_vote_on_score_agreement,576,0.5625,0.501953125,0.501953125,0.50390625,0.501953125,0.060546875,0.060546875,0.501953125,0.060546875,0.4755859375,0.0869140625,0.44140625,0.12109375,0.0414794921875,0.0830078125,0.0400390625,0.0810546875,True
validation_6144_7168,6144,7168,1024,mean_zscore,569,0.5556640625,0.51171875,0.51171875,0.513671875,0.51171875,0.0439453125,0.0439453125,0.51171875,0.0439453125,0.494140625,0.0615234375,0.421875,0.1337890625,0.0258544921875,0.0625,0.0258544921875,0.0625,True
validation_6144_7168,6144,7168,1024,vote,572,0.55859375,0.51171875,0.51171875,0.513671875,0.51171875,0.046875,0.046875,0.51171875,0.046875,0.48046875,0.078125,0.423828125,0.134765625,0.0283203125,0.06645507812499996,0.025390625,0.0654296875,True
validation_6144_7168,6144,7168,1024,hybrid_vote_on_score_agreement,570,0.556640625,0.51171875,0.51171875,0.513671875,0.51171875,0.044921875,0.044921875,0.51171875,0.044921875,0.4794921875,0.0771484375,0.408203125,0.1484375,0.025390625,0.0654296875,0.0263671875,0.064453125,True
validation_7168_8192,7168,8192,1024,mean_zscore,570,0.556640625,0.51953125,0.51953125,0.51171875,0.51953125,0.037109375,0.037109375,0.51953125,0.037109375,0.4775390625,0.0791015625,0.4541015625,0.1025390625,0.0185546875,0.0576171875,0.01953125,0.0537109375,True
validation_7168_8192,7168,8192,1024,vote,561,0.5478515625,0.51953125,0.51953125,0.51171875,0.51953125,0.0283203125,0.0283203125,0.51953125,0.0283203125,0.4677734375,0.080078125,0.443359375,0.1044921875,0.0107421875,0.0478515625,0.009765625,0.046875,True
validation_7168_8192,7168,8192,1024,hybrid_vote_on_score_agreement,572,0.55859375,0.51953125,0.51953125,0.51171875,0.51953125,0.0390625,0.0390625,0.51953125,0.0390625,0.4619140625,0.0966796875,0.4345703125,0.1240234375,0.0185546875,0.05715332031249998,0.015625,0.0625,True
