profile,record_bytes,batch_size,line_bytes_per_request,dma_bytes_per_request,p50_ns_per_request,p95_ns_per_request,cv,ratio_p50_vs_packet_same_batch,ratio_p95_vs_packet_same_batch,source_text_exposed,source_kv_exposed
packet_2b_payload_5b_record,5,1,64.0,128.0,4.155599,5.632267,0.13540662,1.0,1.0,False,False
packet_2b_payload_5b_record,5,4,16.0,32.0,1.632944,1.633614,0.000897,1.0,1.0,False,False
packet_2b_payload_5b_record,5,16,8.0,8.0,0.660494,0.677519,0.01221828,1.0,1.0,False,False
packet_2b_payload_5b_record,5,64,5.0,6.0,0.64306,0.648611,0.00440243,1.0,1.0,False,False
packet_2b_payload_5b_record,5,256,5.0,5.0,0.661653,0.842069,0.10362822,1.0,1.0,False,False
query_aware_text_14b,14,1,64.0,128.0,4.658923,4.697621,0.00431627,1.1211194824139674,0.8340550971749031,True,False
query_aware_text_14b,14,4,16.0,32.0,1.551479,1.559928,0.00226051,0.9501115776168687,0.9548938733384998,True,False
query_aware_text_14b,14,16,16.0,16.0,0.651613,0.676126,0.01861408,0.9865540035185785,0.9979439690990216,True,False
query_aware_text_14b,14,64,14.0,14.0,0.650677,0.660482,0.00749878,1.0118449289335365,1.0183021872894538,True,False
query_aware_text_14b,14,256,14.0,14.0,0.777724,0.790972,0.00947785,1.1754257896510707,0.9393196994545578,True,False
full_hidden_log_370b,370,1,384.0,384.0,5.772571,5.954514,0.02468245,1.3891068411557517,1.0572144395853393,True,False
full_hidden_log_370b,370,4,384.0,384.0,5.088932,5.135797,0.00461565,3.116415504757052,3.143825285532568,True,False
full_hidden_log_370b,370,16,372.0,376.0,4.871311,5.033964,0.01641597,7.375253976569053,7.429996797137793,True,False
full_hidden_log_370b,370,64,370.0,370.0,5.660513,5.779072,0.01486342,8.802464777781234,8.909919813262494,True,False
full_hidden_log_370b,370,256,370.0,370.0,6.201448,6.32007,0.02145967,9.372659082630925,7.505406326559938,True,False
qjl_1bit_kv_floor_21504b,21504,1,21504.0,21504.0,242.90979,249.47925,0.01920832,58.45361643411696,44.294641926599006,False,True
qjl_1bit_kv_floor_21504b,21504,4,21504.0,21504.0,230.128205,237.019231,0.020784,140.92841211946032,145.0888832980129,False,True
qjl_1bit_kv_floor_21504b,21504,16,21504.0,21504.0,342.467949,344.070513,0.00271867,518.5027403731146,507.83891374264044,False,True
qjl_1bit_kv_floor_21504b,21504,64,21504.0,21504.0,431.640625,435.180664,0.00567813,671.2291621310609,670.9424662856472,False,True
qjl_1bit_kv_floor_21504b,21504,256,21504.0,21504.0,658.630371,662.689209,0.01298987,995.4317006043952,786.9773248985535,False,True
kivi_2bit_kv_floor_43008b,43008,1,43008.0,43008.0,582.051282,583.653846,0.00182321,140.0643522149274,103.6268071098192,False,True
kivi_2bit_kv_floor_43008b,43008,4,43008.0,43008.0,674.038462,678.525641,0.00341909,412.7750014697381,415.3524890212743,False,True
kivi_2bit_kv_floor_43008b,43008,16,43008.0,43008.0,685.25641,685.576923,0.00090747,1037.4907417781235,1011.8932797456603,False,True
kivi_2bit_kv_floor_43008b,43008,64,43008.0,43008.0,1140.136719,1149.169922,0.02205362,1772.9865315833672,1771.739797814098,False,True
kivi_2bit_kv_floor_43008b,43008,256,43008.0,43008.0,1287.567139,1410.339355,0.04347544,1945.9854923955606,1674.8501072952456,False,True
