payload_bytes,header_bytes,parity_bytes,packet_bytes,batch_size,cache_lines_64b_unpacked,cache_lines_64b_packed,dma_bursts_128b_unpacked,dma_bursts_128b_packed,line_bytes_per_request_unpacked,line_bytes_per_request_packed,dma_bytes_per_request_unpacked,dma_bytes_per_request_packed,packing_efficiency_line,packing_efficiency_dma,requests_per_64b_line,requests_per_128b_burst
2,2,1,5,1,1,1,1,1,64,64,128,128,1,1,12,25
2,2,1,5,4,4,1,4,1,64,16,128,32,4,4,12,25
2,2,1,5,16,16,2,16,1,64,8,128,8,8,16,12,25
2,2,1,5,64,64,5,64,3,64,5,128,6,12.8,21.3333,12,25
4,2,1,7,1,1,1,1,1,64,64,128,128,1,1,9,18
4,2,1,7,4,4,1,4,1,64,16,128,32,4,4,9,18
4,2,1,7,16,16,2,16,1,64,8,128,8,8,16,9,18
4,2,1,7,64,64,7,64,4,64,7,128,8,9.14286,16,9,18
8,2,1,11,1,1,1,1,1,64,64,128,128,1,1,5,11
8,2,1,11,4,4,1,4,1,64,16,128,32,4,4,5,11
8,2,1,11,16,16,3,16,2,64,12,128,16,5.33333,8,5,11
8,2,1,11,64,64,11,64,6,64,11,128,12,5.81818,10.6667,5,11
16,2,1,19,1,1,1,1,1,64,64,128,128,1,1,3,6
16,2,1,19,4,4,2,4,1,64,32,128,32,2,4,3,6
16,2,1,19,16,16,5,16,3,64,20,128,24,3.2,5.33333,3,6
16,2,1,19,64,64,19,64,10,64,19,128,20,3.36842,6.4,3,6
32,2,1,35,1,1,1,1,1,64,64,128,128,1,1,1,3
32,2,1,35,4,4,3,4,2,64,48,128,64,1.33333,2,1,3
32,2,1,35,16,16,9,16,5,64,36,128,40,1.77778,3.2,1,3
32,2,1,35,64,64,35,64,18,64,35,128,36,1.82857,3.55556,1,3
