Loading HotpotQA subset...
Llama hidden size: 2048, Qwen hidden size: 896
Epoch 1/1
  step 10/5000 | loss_llama=1.7427 | loss_qwen=8.9328 | grad_norm=117852.80
  step 20/5000 | loss_llama=1.5214 | loss_qwen=9.6109 | grad_norm=85693.05
  step 30/5000 | loss_llama=1.7176 | loss_qwen=10.8762 | grad_norm=199.80
  step 40/5000 | loss_llama=3.3054 | loss_qwen=11.1555 | grad_norm=223.06
  step 50/5000 | loss_llama=1.4698 | loss_qwen=11.1193 | grad_norm=103250.80
  step 60/5000 | loss_llama=2.0725 | loss_qwen=10.8842 | grad_norm=58624.80
  step 70/5000 | loss_llama=0.9376 | loss_qwen=11.9617 | grad_norm=144.66
  step 80/5000 | loss_llama=0.7513 | loss_qwen=11.2197 | grad_norm=168.74
  step 90/5000 | loss_llama=2.4732 | loss_qwen=8.5252 | grad_norm=214.25
  step 100/5000 | loss_llama=0.7222 | loss_qwen=8.1534 | grad_norm=191.77
  step 110/5000 | loss_llama=2.4384 | loss_qwen=9.6746 | grad_norm=18526.75
  step 120/5000 | loss_llama=0.7157 | loss_qwen=6.2860 | grad_norm=111.00
  step 130/5000 | loss_llama=0.8886 | loss_qwen=6.8218 | grad_norm=39265.90
  step 140/5000 | loss_llama=1.2112 | loss_qwen=5.8149 | grad_norm=82.10
  step 150/5000 | loss_llama=1.0050 | loss_qwen=5.8899 | grad_norm=42283.91
  step 160/5000 | loss_llama=1.4491 | loss_qwen=5.9721 | grad_norm=87417.49
  step 170/5000 | loss_llama=1.7919 | loss_qwen=7.0493 | grad_norm=58202.45
  step 180/5000 | loss_llama=0.3679 | loss_qwen=4.4737 | grad_norm=46026.67
  step 190/5000 | loss_llama=1.1254 | loss_qwen=5.0846 | grad_norm=49147.12
  step 200/5000 | loss_llama=1.1500 | loss_qwen=5.0937 | grad_norm=73.16
  step 210/5000 | loss_llama=1.0434 | loss_qwen=6.4867 | grad_norm=102.62
  step 220/5000 | loss_llama=1.1746 | loss_qwen=10.3241 | grad_norm=63142.96
  step 230/5000 | loss_llama=2.4379 | loss_qwen=6.9012 | grad_norm=39587.50
  step 240/5000 | loss_llama=0.6631 | loss_qwen=4.0166 | grad_norm=51481.76
  step 250/5000 | loss_llama=1.4980 | loss_qwen=6.9874 | grad_norm=54.83
  ✅ Saved checkpoint at step 250
  step 260/5000 | loss_llama=0.5807 | loss_qwen=5.6932 | grad_norm=106.02
  step 270/5000 | loss_llama=1.0032 | loss_qwen=5.2120 | grad_norm=53096.64
  step 280/5000 | loss_llama=0.9446 | loss_qwen=10.2220 | grad_norm=58278.11
  step 290/5000 | loss_llama=0.6185 | loss_qwen=5.1511 | grad_norm=67.18
  step 300/5000 | loss_llama=1.0563 | loss_qwen=4.8829 | grad_norm=47.83
  step 310/5000 | loss_llama=0.6668 | loss_qwen=6.9349 | grad_norm=46.85
  step 320/5000 | loss_llama=1.6032 | loss_qwen=6.0642 | grad_norm=58837.11
  step 330/5000 | loss_llama=0.7422 | loss_qwen=5.3052 | grad_norm=48973.00
  step 340/5000 | loss_llama=1.0984 | loss_qwen=5.2457 | grad_norm=65.65
  step 350/5000 | loss_llama=0.6002 | loss_qwen=6.3221 | grad_norm=84632.98
  step 360/5000 | loss_llama=0.5334 | loss_qwen=6.8426 | grad_norm=54124.87
  step 370/5000 | loss_llama=0.4649 | loss_qwen=5.9594 | grad_norm=133.93
  step 380/5000 | loss_llama=0.6280 | loss_qwen=9.1785 | grad_norm=124.07
  step 390/5000 | loss_llama=0.3789 | loss_qwen=6.7871 | grad_norm=53123.41
  step 400/5000 | loss_llama=0.5888 | loss_qwen=6.6675 | grad_norm=122.65
  step 410/5000 | loss_llama=1.6817 | loss_qwen=5.3625 | grad_norm=60483.71
  step 420/5000 | loss_llama=0.9359 | loss_qwen=4.2152 | grad_norm=70.41
  step 430/5000 | loss_llama=0.3740 | loss_qwen=7.9698 | grad_norm=53480.38
  step 440/5000 | loss_llama=1.3013 | loss_qwen=6.9285 | grad_norm=86812.70
  step 450/5000 | loss_llama=1.7801 | loss_qwen=5.3449 | grad_norm=52139.24
  step 460/5000 | loss_llama=1.7821 | loss_qwen=6.9800 | grad_norm=82.74
  step 470/5000 | loss_llama=1.7938 | loss_qwen=5.7764 | grad_norm=60.51
  step 480/5000 | loss_llama=0.7612 | loss_qwen=7.0910 | grad_norm=68501.11
  step 490/5000 | loss_llama=0.2652 | loss_qwen=5.1590 | grad_norm=114.59
