run_tag,dataset,kv_quant_scheme,kv_quant_bits,kv_cache_proportion,kv_cache_order_mode,num_samples,token_select_mode,token_select_proportion,token_select_scope,sparse_fuse,index_dtype_bytes,include_scale_overhead,base_model,avg_input_length,bytes_per_sequence,bytes_per_sequence_mib,accuracy,run_root
step0_20260127_052746,arc_c,fp16,16,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,8103704.486956522,7.728294836956522,0.551304347826087,quantization/data/step_0_baselines/step0_20260127_052746
step0_20260127_052746,openbookqa,fp16,16,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,6762348.544,6.449078125,0.528,quantization/data/step_0_baselines/step0_20260127_052746
step0_20260127_214552,arc_c,fp16,16,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,8103704.486956522,7.728294836956522,0.551304347826087,quantization/data/step_0_baselines/step0_20260127_214552
step0_20260127_214552,openbookqa,fp16,16,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,6762348.544,6.449078125,0.528,quantization/data/step_0_baselines/step0_20260127_214552
step1_int4_20260127_052746,arc_c,int4,4,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,2025926.1217391305,1.9320737092391305,0.5539130434782609,quantization/data/step_1_kv_ptq/step1_int4_20260127_052746
step1_int4_20260127_052746,openbookqa,int4,4,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,1690587.136,1.61226953125,0.526,quantization/data/step_1_kv_ptq/step1_int4_20260127_052746
step1_int4_20260127_214552,arc_c,int4,4,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,2025926.1217391305,1.9320737092391305,0.5539130434782609,quantization/data/step_1_kv_ptq/step1_int4_20260127_214552
step1_int4_20260127_214552,openbookqa,int4,4,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,1690587.136,1.61226953125,0.526,quantization/data/step_1_kv_ptq/step1_int4_20260127_214552
step1_int8_20260127_052746,arc_c,int8,8,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4051852.243478261,3.864147418478261,0.5504347826086956,quantization/data/step_1_kv_ptq/step1_int8_20260127_052746
step1_int8_20260127_052746,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step1_int8_20260127_052746
step1_int8_20260127_214552,arc_c,int8,8,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4051852.243478261,3.864147418478261,0.5504347826086956,quantization/data/step_1_kv_ptq/step1_int8_20260127_214552
step1_int8_20260127_214552,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step1_int8_20260127_214552
step3_int8_p0.10_back_20260127_084143,arc_c,int8,8,0.1,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,405185.22434782615,0.38641474184782615,0.5365217391304348,quantization/data/step_1_kv_ptq/step3_int8_p0.10_back_20260127_084143
step3_int8_p0.10_back_20260127_084143,openbookqa,int8,8,0.1,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,338117.42720000003,0.32245390625000003,0.492,quantization/data/step_1_kv_ptq/step3_int8_p0.10_back_20260127_084143
step3_int8_p0.10_front_20260127_082712,arc_c,int8,8,0.1,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,405185.22434782615,0.38641474184782615,0.40695652173913044,quantization/data/step_1_kv_ptq/step3_int8_p0.10_front_20260127_082712
step3_int8_p0.10_front_20260127_082712,openbookqa,int8,8,0.1,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,338117.42720000003,0.32245390625000003,0.386,quantization/data/step_1_kv_ptq/step3_int8_p0.10_front_20260127_082712
step3_int8_p0.25_back_20260127_081228,arc_c,int8,8,0.25,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,1012963.0608695652,0.9660368546195652,0.5617391304347826,quantization/data/step_1_kv_ptq/step3_int8_p0.25_back_20260127_081228
step3_int8_p0.25_back_20260127_081228,openbookqa,int8,8,0.25,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,845293.568,0.806134765625,0.508,quantization/data/step_1_kv_ptq/step3_int8_p0.25_back_20260127_081228
step3_int8_p0.25_front_20260127_075824,arc_c,int8,8,0.25,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,1012963.0608695652,0.9660368546195652,0.3834782608695652,quantization/data/step_1_kv_ptq/step3_int8_p0.25_front_20260127_075824
step3_int8_p0.25_front_20260127_075824,openbookqa,int8,8,0.25,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,845293.568,0.806134765625,0.388,quantization/data/step_1_kv_ptq/step3_int8_p0.25_front_20260127_075824
step3_int8_p0.50_back_20260127_074339,arc_c,int8,8,0.5,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,2025926.1217391305,1.9320737092391305,0.5721739130434783,quantization/data/step_1_kv_ptq/step3_int8_p0.50_back_20260127_074339
step3_int8_p0.50_back_20260127_074339,openbookqa,int8,8,0.5,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,1690587.136,1.61226953125,0.52,quantization/data/step_1_kv_ptq/step3_int8_p0.50_back_20260127_074339
step3_int8_p0.50_front_20260127_073007,arc_c,int8,8,0.5,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,2025926.1217391305,1.9320737092391305,0.46260869565217394,quantization/data/step_1_kv_ptq/step3_int8_p0.50_front_20260127_073007
step3_int8_p0.50_front_20260127_073007,openbookqa,int8,8,0.5,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,1690587.136,1.61226953125,0.43,quantization/data/step_1_kv_ptq/step3_int8_p0.50_front_20260127_073007
step3_int8_p0.75_back_20260127_071552,arc_c,int8,8,0.75,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,3038889.1826086957,2.8981105638586957,0.5573913043478261,quantization/data/step_1_kv_ptq/step3_int8_p0.75_back_20260127_071552
step3_int8_p0.75_back_20260127_071552,openbookqa,int8,8,0.75,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,2535880.704,2.418404296875,0.522,quantization/data/step_1_kv_ptq/step3_int8_p0.75_back_20260127_071552
step3_int8_p0.75_front_20260127_070202,arc_c,int8,8,0.75,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,3038889.1826086957,2.8981105638586957,0.4017391304347826,quantization/data/step_1_kv_ptq/step3_int8_p0.75_front_20260127_070202
step3_int8_p0.75_front_20260127_070202,openbookqa,int8,8,0.75,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,2535880.704,2.418404296875,0.446,quantization/data/step_1_kv_ptq/step3_int8_p0.75_front_20260127_070202
step3_int8_p0p1_front_20260127_214552,arc_c,int8,8,0.1,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,405185.22434782615,0.38641474184782615,0.40695652173913044,quantization/data/step_1_kv_ptq/step3_int8_p0p1_front_20260127_214552
step3_int8_p0p1_front_20260127_214552,openbookqa,int8,8,0.1,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,338117.42720000003,0.32245390625000003,0.386,quantization/data/step_1_kv_ptq/step3_int8_p0p1_front_20260127_214552
step3_int8_p0p25_back_20260127_214552,arc_c,int8,8,0.25,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,1012963.0608695652,0.9660368546195652,0.5617391304347826,quantization/data/step_1_kv_ptq/step3_int8_p0p25_back_20260127_214552
step3_int8_p0p25_back_20260127_214552,openbookqa,int8,8,0.25,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,845293.568,0.806134765625,0.508,quantization/data/step_1_kv_ptq/step3_int8_p0p25_back_20260127_214552
step3_int8_p0p25_front_20260127_214552,arc_c,int8,8,0.25,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,1012963.0608695652,0.9660368546195652,0.3834782608695652,quantization/data/step_1_kv_ptq/step3_int8_p0p25_front_20260127_214552
