checkpoint_tag,eval_name,layer_pairing,selection_ratio,seed,source_reasoning_mode,quantize,target_alone,text_to_text,best_metric,best_value,best_minus_target,best_minus_text_to_text,best_bytes,best_ttft_sec,best_tokens_per_sec,log_file
interp_full_seed0,fused_noquant_plain,interp,1.0,0,plain,False,0.04,0.01,rotalign_kv_gate_0.15,0.05,0.010000000000000002,0.04,19017564.16,0.187362,31.753298,results/control_suite_20260414_125853/logs/interp_full_seed0_fused_noquant_plain.log
interp_full_seed0,fused_noquant_cot,interp,1.0,0,cot,False,,,rotalign_kv_gate_0.25,0.02,,,19017564.16,0.179322,33.439555,results/control_suite_20260414_125853/logs/interp_full_seed0_fused_noquant_cot.log
interp_full_seed0,text_kv_noquant_brief,interp,1.0,0,brief_analysis,False,,,rotalign_text_kv_hybrid_gate_0.25,0.01,,,21540700.16,1.617351,18.599541,results/control_suite_20260414_125853/logs/interp_full_seed0_text_kv_noquant_brief.log
interp_full_seed0,fused_quant_brief,interp,1.0,0,brief_analysis,True,,,rotalign_kv_gate_0.25,0.02,,,2395767.36,0.225506,34.378704,results/control_suite_20260414_125853/logs/interp_full_seed0_fused_quant_brief.log
cka_half_seed0,fused_noquant_plain,cka,0.5,0,plain,False,0.04,0.01,target_alone,0.04,0.0,0.03,,0.085819,37.030843,results/control_suite_20260414_125853/logs/cka_half_seed0_fused_noquant_plain.log
cka_half_seed0,fused_noquant_cot,cka,0.5,0,cot,False,,,rotalign_kv_gate_0.15,0.04,,,9508782.08,0.233586,28.139862,results/control_suite_20260414_125853/logs/cka_half_seed0_fused_noquant_cot.log
cka_half_seed0,text_kv_noquant_brief,cka,0.5,0,brief_analysis,False,,,rotalign_text_kv_hybrid_gate_0.15,0.01,,,10770350.08,1.607229,19.007698,results/control_suite_20260414_125853/logs/cka_half_seed0_text_kv_noquant_brief.log
cka_half_seed0,fused_quant_brief,cka,0.5,0,brief_analysis,True,,,rotalign_kv_gate_0.30,0.05,,,1197883.68,0.225737,33.181477,results/control_suite_20260414_125853/logs/cka_half_seed0_fused_quant_brief.log
cka_quarter_seed0,fused_noquant_plain,cka,0.25,0,plain,False,0.04,0.01,target_alone,0.04,0.0,0.03,,0.087258,35.792695,results/control_suite_20260414_125853/logs/cka_quarter_seed0_fused_noquant_plain.log
cka_quarter_seed0,fused_noquant_cot,cka,0.25,0,cot,False,,,rotalign_kv_gate_0.15,0.04,,,4754391.04,0.190674,34.886556,results/control_suite_20260414_125853/logs/cka_quarter_seed0_fused_noquant_cot.log
cka_quarter_seed0,text_kv_noquant_brief,cka,0.25,0,brief_analysis,False,,,rotalign_text_kv_hybrid_gate_0.15,0.0,,,5385175.04,1.600727,19.253194,results/control_suite_20260414_125853/logs/cka_quarter_seed0_text_kv_noquant_brief.log
cka_quarter_seed0,fused_quant_brief,cka,0.25,0,brief_analysis,True,,,rotalign_kv_gate_0.25,0.04,,,598941.84,0.233109,32.185081,results/control_suite_20260414_125853/logs/cka_quarter_seed0_fused_quant_brief.log
cka_half_seed1,fused_noquant_plain,cka,0.5,1,plain,False,0.04,0.01,target_alone,0.04,0.0,0.03,,0.093852,33.70819,results/control_suite_20260414_125853/logs/cka_half_seed1_fused_noquant_plain.log
cka_half_seed1,fused_noquant_cot,cka,0.5,1,cot,False,,,rotalign_kv_gate_0.15,0.04,,,9508782.08,0.210892,31.426175,results/control_suite_20260414_125853/logs/cka_half_seed1_fused_noquant_cot.log
cka_half_seed1,text_kv_noquant_brief,cka,0.5,1,brief_analysis,False,,,rotalign_text_kv_hybrid_gate_0.15,0.01,,,10770350.08,1.662497,18.188298,results/control_suite_20260414_125853/logs/cka_half_seed1_text_kv_noquant_brief.log
cka_half_seed1,fused_quant_brief,cka,0.5,1,brief_analysis,True,,,rotalign_kv_gate_0.15,0.06,,,1197883.68,0.269783,31.325558,results/control_suite_20260414_125853/logs/cka_half_seed1_fused_quant_brief.log
