split,surface,seed,pass_gate,n,matched_accuracy,target_accuracy,same_byte_structured_text_accuracy,qwen_substituted_packet_accuracy,best_destructive_control,best_destructive_control_accuracy,matched_minus_target,matched_minus_same_byte_text,matched_minus_qwen_substituted,matched_minus_best_destructive,paired_ci95_low_vs_target,paired_ci95_low_vs_qwen_substituted
validation,full_slice,47,True,299,0.43478260869565216,0.24414715719063546,0.3712374581939799,,shuffled_source_packet,0.2809364548494983,0.1906354515050167,0.06354515050167225,,0.15384615384615385,0.11371237458193979,
validation,full_slice,53,True,299,0.43812709030100333,0.24414715719063546,0.3712374581939799,,random_same_byte_packet,0.26755852842809363,0.19397993311036787,0.06688963210702342,,0.1705685618729097,0.12709030100334448,
validation,full_slice,59,True,299,0.43812709030100333,0.24414715719063546,0.3712374581939799,,random_same_byte_packet,0.2709030100334448,0.19397993311036787,0.06688963210702342,,0.16722408026755853,0.12198996655518396,
validation,full_slice,61,True,299,0.43812709030100333,0.24414715719063546,0.3712374581939799,,random_same_byte_packet,0.2508361204013378,0.19397993311036787,0.06688963210702342,,0.18729096989966554,0.12198996655518396,
validation,full_slice,67,True,299,0.43812709030100333,0.24414715719063546,0.3712374581939799,,shuffled_source_packet,0.25418060200668896,0.19397993311036787,0.06688963210702342,,0.18394648829431437,0.12374581939799331,
validation,qwen_disagreement_slice,47,False,95,0.3894736842105263,0.21052631578947367,0.3263157894736842,0.23157894736842105,shuffled_source_packet,0.3157894736842105,0.17894736842105263,0.06315789473684208,0.15789473684210525,0.0736842105263158,0.05263157894736842,-0.021052631578947368
validation,qwen_disagreement_slice,53,False,95,0.3894736842105263,0.21052631578947367,0.3263157894736842,0.23157894736842105,shuffled_source_packet,0.22105263157894736,0.17894736842105263,0.06315789473684208,0.15789473684210525,0.16842105263157894,0.05263157894736842,0.010526315789473684
validation,qwen_disagreement_slice,59,False,95,0.3894736842105263,0.21052631578947367,0.3263157894736842,0.23157894736842105,random_same_byte_packet,0.2631578947368421,0.17894736842105263,0.06315789473684208,0.15789473684210525,0.12631578947368421,0.06315789473684211,0.0
validation,qwen_disagreement_slice,61,False,95,0.3894736842105263,0.21052631578947367,0.3263157894736842,0.23157894736842105,random_same_byte_packet,0.25263157894736843,0.17894736842105263,0.06315789473684208,0.15789473684210525,0.13684210526315788,0.06315789473684211,-0.010526315789473684
validation,qwen_disagreement_slice,67,False,95,0.3894736842105263,0.21052631578947367,0.3263157894736842,0.23157894736842105,shuffled_source_packet,0.23157894736842105,0.17894736842105263,0.06315789473684208,0.15789473684210525,0.15789473684210525,0.042105263157894736,0.010526315789473684
test,full_slice,47,True,1172,0.44283276450511944,0.26535836177474403,0.40102389078498296,,target_derived_sidecar,0.26621160409556316,0.1774744027303754,0.041808873720136475,,0.17662116040955628,0.14590443686006827,
test,full_slice,53,True,1172,0.44283276450511944,0.26535836177474403,0.40102389078498296,,random_same_byte_packet,0.27047781569965873,0.1774744027303754,0.041808873720136475,,0.1723549488054607,0.13651877133105803,
test,full_slice,59,True,1172,0.44283276450511944,0.26535836177474403,0.40102389078498296,,zero_source,0.26535836177474403,0.1774744027303754,0.041808873720136475,,0.1774744027303754,0.13822525597269625,
test,full_slice,61,True,1172,0.44283276450511944,0.26535836177474403,0.40102389078498296,,random_same_byte_packet,0.2738907849829352,0.1774744027303754,0.041808873720136475,,0.16894197952218426,0.13651877133105803,
test,full_slice,67,True,1172,0.44112627986348124,0.26535836177474403,0.40102389078498296,,zero_source,0.26535836177474403,0.1757679180887372,0.04010238907849828,,0.1757679180887372,0.13737201365187712,
test,qwen_disagreement_slice,47,True,388,0.48195876288659795,0.2963917525773196,0.45618556701030927,0.18298969072164947,zero_source,0.2963917525773196,0.18556701030927836,0.02577319587628868,0.2989690721649485,0.18556701030927836,0.1211340206185567,0.22938144329896906
test,qwen_disagreement_slice,53,True,388,0.4793814432989691,0.2963917525773196,0.45618556701030927,0.18556701030927836,zero_source,0.2963917525773196,0.1829896907216495,0.023195876288659822,0.29381443298969073,0.1829896907216495,0.11597938144329897,0.21649484536082475
test,qwen_disagreement_slice,59,True,388,0.4845360824742268,0.2963917525773196,0.45618556701030927,0.18298969072164947,zero_source,0.2963917525773196,0.18814432989690721,0.028350515463917536,0.30154639175257736,0.18814432989690721,0.12886597938144329,0.22938144329896906
test,qwen_disagreement_slice,61,True,388,0.48195876288659795,0.2963917525773196,0.45618556701030927,0.18298969072164947,zero_source,0.2963917525773196,0.18556701030927836,0.02577319587628868,0.2989690721649485,0.18556701030927836,0.11204896907216495,0.2228737113402062
test,qwen_disagreement_slice,67,True,388,0.48195876288659795,0.2963917525773196,0.45618556701030927,0.18556701030927836,zero_source,0.2963917525773196,0.18556701030927836,0.02577319587628868,0.2963917525773196,0.18556701030927836,0.11720360824742268,0.22545103092783506
