method,view,param,transform,dev_accuracy_mean,dev_qwen_substituted_accuracy_mean,dev_cached_tiny_packet_accuracy_mean,dev_matched_minus_qwen_substituted_mean,dev_matched_minus_cached_tiny_packet_mean,dev_paired_ci95_low_vs_qwen_substituted_min,selected
knn_barycentric_transport,hidden_residual,"k=3,temp=0.10",raw,0.2666666666666667,0.3611111111111111,0.2777777777777778,-0.09444444444444444,-0.01111111111111111,-0.3611111111111111,False
knn_barycentric_transport,hidden_residual,"k=7,temp=0.10",raw,0.2777777777777778,0.3611111111111111,0.2777777777777778,-0.08333333333333334,0.0,-0.3888888888888889,False
knn_barycentric_transport,hidden_residual,"k=15,temp=0.10",raw,0.27222222222222225,0.3611111111111111,0.2777777777777778,-0.08888888888888888,-0.005555555555555558,-0.4444444444444444,False
knn_barycentric_transport,hidden_residual,"k=31,temp=0.10",raw,0.2611111111111111,0.3611111111111111,0.2777777777777778,-0.1,-0.01666666666666666,-0.3888888888888889,False
knn_barycentric_transport,hidden_residual,"k=3,temp=0.10",qjl_sign64,0.22222222222222224,0.3611111111111111,0.2777777777777778,-0.1388888888888889,-0.05555555555555556,-0.43124999999999997,False
knn_barycentric_transport,hidden_residual,"k=7,temp=0.10",qjl_sign64,0.21666666666666665,0.3611111111111111,0.2777777777777778,-0.14444444444444446,-0.061111111111111116,-0.4444444444444444,False
knn_barycentric_transport,hidden_residual,"k=15,temp=0.10",qjl_sign64,0.22222222222222224,0.3611111111111111,0.2777777777777778,-0.1388888888888889,-0.05555555555555556,-0.3888888888888889,False
knn_barycentric_transport,hidden_residual,"k=31,temp=0.10",qjl_sign64,0.26666666666666666,0.3611111111111111,0.2777777777777778,-0.09444444444444444,-0.011111111111111108,-0.3611111111111111,False
knn_barycentric_transport,hidden_residual,"k=3,temp=0.10",qjl_sign128,0.25,0.3611111111111111,0.2777777777777778,-0.11111111111111112,-0.02777777777777778,-0.3888888888888889,False
knn_barycentric_transport,hidden_residual,"k=7,temp=0.10",qjl_sign128,0.26666666666666666,0.3611111111111111,0.2777777777777778,-0.09444444444444444,-0.01111111111111111,-0.4034722222222222,False
knn_barycentric_transport,hidden_residual,"k=15,temp=0.10",qjl_sign128,0.23333333333333334,0.3611111111111111,0.2777777777777778,-0.12777777777777777,-0.04444444444444444,-0.3611111111111111,False
knn_barycentric_transport,hidden_residual,"k=31,temp=0.10",qjl_sign128,0.26666666666666666,0.3611111111111111,0.2777777777777778,-0.09444444444444443,-0.01111111111111111,-0.3611111111111111,False
whitened_procrustes,hidden_residual,dim=16,raw,0.28888888888888886,0.3611111111111111,0.2777777777777778,-0.07222222222222222,0.011111111111111113,-0.3888888888888889,False
whitened_procrustes,hidden_residual,dim=32,raw,0.2666666666666667,0.3611111111111111,0.2777777777777778,-0.09444444444444444,-0.01111111111111111,-0.3611111111111111,False
whitened_procrustes,hidden_residual,dim=64,raw,0.32222222222222224,0.3611111111111111,0.2777777777777778,-0.03888888888888889,0.04444444444444444,-0.3479166666666666,False
whitened_procrustes,hidden_residual,dim=96,raw,0.23333333333333334,0.3611111111111111,0.2777777777777778,-0.1277777777777778,-0.04444444444444444,-0.3888888888888889,False
knn_barycentric_transport,query_residual,"k=3,temp=0.10",raw,0.29444444444444445,0.3611111111111111,0.2777777777777778,-0.06666666666666668,0.016666666666666666,-0.3611111111111111,False
knn_barycentric_transport,query_residual,"k=7,temp=0.10",raw,0.35,0.3611111111111111,0.2777777777777778,-0.011111111111111113,0.07222222222222222,-0.3479166666666666,False
knn_barycentric_transport,query_residual,"k=15,temp=0.10",raw,0.29444444444444445,0.3611111111111111,0.2777777777777778,-0.06666666666666667,0.016666666666666666,-0.4166666666666667,False
knn_barycentric_transport,query_residual,"k=31,temp=0.10",raw,0.3,0.3611111111111111,0.2777777777777778,-0.061111111111111116,0.022222222222222223,-0.3888888888888889,False
knn_barycentric_transport,query_residual,"k=3,temp=0.10",qjl_sign64,0.31666666666666665,0.3611111111111111,0.2777777777777778,-0.04444444444444444,0.03888888888888888,-0.4034722222222222,False
knn_barycentric_transport,query_residual,"k=7,temp=0.10",qjl_sign64,0.32222222222222224,0.3611111111111111,0.2777777777777778,-0.038888888888888896,0.04444444444444444,-0.3611111111111111,False
