row_class,run_dir,direction,budget_bytes,condition,online_phase,n,accuracy,target_accuracy,best_control_accuracy,delta_vs_target,delta_vs_best_control,paired_ci95_low_vs_target,controls_ok,pass_gate,payload_bytes,record_bytes,single_request_cacheline_bytes,single_request_dma_bytes,batch_line_bytes_per_request,batch_dma_bytes_per_request,current_python_p50_ms,current_python_p95_ms,source_text_exposed,source_kv_exposed,public_candidate_features_only,calibration_eval_exact_id_overlap_count,exact_transformed_eval_surface_overlap_count,candidate_count,atom_count,adapter_params_bytes,resident_feature_bytes_per_example,resident_score_table_bytes_per_example,dense_decode_read_bytes_per_request,sparse_decode_read_bytes_per_request,resident_sparse_decode_p50_us,resident_sparse_decode_p95_us,resident_sparse_decode_mismatch_count,trace_hash,notes
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,target_only,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.332031,,,0,0,0,0,0,0,0.00154099,0.00562501,false,false,true,0,0,4,41,,1312,656,1640,16,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,learned_synonym_dictionary_packet,current_python_nonresident_decode,512,0.625,0.25,0.25,0.375,0.375,0.332031,true,true,6.75,9.75,64,128,10,10,0.298438,0.920875,false,false,true,0,0,4,41,,1312,656,1649.75,25.75,,,,,matched source-private packet; public candidate features remain receiver-local
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,zero_source,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.332031,,,0,0,0,0,0,0,0.00220901,0.00795798,false,false,true,0,0,4,41,,1312,656,1640,16,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,random_same_byte,current_python_nonresident_decode,512,0.234375,0.25,0.25,-0.015625,-0.015625,0.332031,,,8,11,64,128,11,12,0.006521,0.6995,false,false,true,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,private_random_source_atoms,current_python_nonresident_decode,512,0.242188,0.25,0.25,-0.0078125,-0.0078125,0.332031,,,6.75,9.75,64,128,10,10,0.302958,0.959833,false,false,true,0,0,4,41,,1312,656,1649.75,25.75,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,permuted_teacher_receiver,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.332031,,,6.75,9.75,64,128,10,10,0.296875,1.10583,false,false,true,0,0,4,41,,1312,656,1649.75,25.75,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,answer_only_text,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.332031,,,8,11,64,128,11,12,0.0026045,0.00895798,true,false,false,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,core_to_holdout,8,structured_text_matched,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.332031,,,8,11,64,128,11,12,0.276125,1.10496,true,false,false,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,target_only,current_python_nonresident_decode,512,0.25,0.25,0.259766,0,-0.00976562,0.208984,,,0,0,0,0,0,0,0.00150001,0.00558299,false,false,true,0,0,4,41,,1312,656,1640,16,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,learned_synonym_dictionary_packet,current_python_nonresident_decode,512,0.5,0.25,0.259766,0.25,0.240234,0.208984,true,true,6.5,9.5,64,128,10,10,0.288291,0.888042,false,false,true,0,0,4,41,,1312,656,1649.5,25.5,,,,,matched source-private packet; public candidate features remain receiver-local
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,zero_source,current_python_nonresident_decode,512,0.25,0.25,0.259766,0,-0.00976562,0.208984,,,0,0,0,0,0,0,0.00220799,0.007833,false,false,true,0,0,4,41,,1312,656,1640,16,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,random_same_byte,current_python_nonresident_decode,512,0.259766,0.25,0.259766,0.00976562,0,0.208984,,,8,11,64,128,11,12,0.006416,0.321667,false,false,true,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,private_random_source_atoms,current_python_nonresident_decode,512,0.257812,0.25,0.259766,0.0078125,-0.00195312,0.208984,,,6.5,9.5,64,128,10,10,0.294313,0.90225,false,false,true,0,0,4,41,,1312,656,1649.5,25.5,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,permuted_teacher_receiver,current_python_nonresident_decode,512,0.25,0.25,0.259766,0,-0.00976562,0.208984,,,6.5,9.5,64,128,10,10,0.2855,0.854292,false,false,true,0,0,4,41,,1312,656,1649.5,25.5,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,answer_only_text,current_python_nonresident_decode,512,0.25,0.25,0.259766,0,-0.00976562,0.208984,,,8,11,64,128,11,12,0.00258299,0.00875001,true,false,false,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,holdout_to_core,8,structured_text_matched,current_python_nonresident_decode,512,0.25,0.25,0.259766,0,-0.00976562,0.208984,,,8,11,64,128,11,12,0.269,0.854834,true,false,false,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,same_family_all,8,target_only,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.273438,,,0,0,0,0,0,0,0.00158299,0.00583398,false,false,true,0,0,4,41,,1312,656,1640,16,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,same_family_all,8,learned_synonym_dictionary_packet,current_python_nonresident_decode,512,0.5625,0.25,0.25,0.3125,0.3125,0.273438,true,true,6.625,9.625,64,128,10,10,0.293896,0.9705,false,false,true,0,0,4,41,,1312,656,1649.62,25.625,,,,,matched source-private packet; public candidate features remain receiver-local
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,same_family_all,8,zero_source,current_python_nonresident_decode,512,0.25,0.25,0.25,0,0,0.273438,,,0,0,0,0,0,0,0.00224999,0.00779101,false,false,true,0,0,4,41,,1312,656,1640,16,,,,,control/comparator row from the same frozen direction summary
candidate_local_residual_receiver,results/source_private_candidate_local_residual_receiver_20260430_seed47_n512_minilm_teacher_norm_dec048_evaldisjoint,same_family_all,8,random_same_byte,current_python_nonresident_decode,512,0.248047,0.25,0.25,-0.00195312,-0.00195312,0.273438,,,8,11,64,128,11,12,0.00645799,0.370625,false,false,true,0,0,4,41,,1312,656,1651,27,,,,,control/comparator row from the same frozen direction summary
