benchmark,split,seed,packet_accuracy,source_index_accuracy,target_accuracy,same_budget_text_accuracy,packet_follows_source_index,packet_vs_source_index_mean,packet_vs_source_index_ci95_low,packet_vs_same_budget_text_ci95_low,packet_vs_best_destructive_ci95_low
ARC-Challenge,validation,47,0.38461538461538464,0.3879598662207358,0.24414715719063546,0.33444816053511706,0.9966555183946488,-0.0033444816053511705,-0.010033444816053512,0.013377926421404682,0.07023411371237458
ARC-Challenge,validation,53,0.3879598662207358,0.3879598662207358,0.24414715719063546,0.33444816053511706,1.0,0.0,0.0,0.016722408026755852,0.06688963210702341
ARC-Challenge,validation,59,0.38461538461538464,0.3879598662207358,0.24414715719063546,0.33444816053511706,0.9966555183946488,-0.0033444816053511705,-0.013377926421404682,0.010033444816053512,0.07023411371237458
ARC-Challenge,validation,61,0.38461538461538464,0.3879598662207358,0.24414715719063546,0.33444816053511706,0.9966555183946488,-0.0033444816053511705,-0.010033444816053512,0.010033444816053512,0.06354515050167224
ARC-Challenge,validation,67,0.3879598662207358,0.3879598662207358,0.24414715719063546,0.33444816053511706,1.0,0.0,0.0,0.013377926421404682,0.03678929765886288
ARC-Challenge,validation,71,0.38127090301003347,0.3879598662207358,0.24414715719063546,0.33444816053511706,0.9899665551839465,-0.006688963210702341,-0.016722408026755852,0.010033444816053512,0.06688963210702341
ARC-Challenge,validation,73,0.38461538461538464,0.3879598662207358,0.24414715719063546,0.33444816053511706,0.9966555183946488,-0.0033444816053511705,-0.010033444816053512,0.010033444816053512,0.056856187290969896
ARC-Challenge,validation,79,0.3879598662207358,0.3879598662207358,0.24414715719063546,0.33444816053511706,1.0,0.0,0.0,0.013377926421404682,0.05677257525083612
ARC-Challenge,validation,83,0.3879598662207358,0.3879598662207358,0.24414715719063546,0.33444816053511706,1.0,0.0,0.0,0.013377926421404682,0.03001672240802676
ARC-Challenge,validation,89,0.38127090301003347,0.3879598662207358,0.24414715719063546,0.33444816053511706,0.9933110367892977,-0.006688963210702341,-0.016722408026755852,0.006688963210702341,0.016722408026755852
ARC-Challenge,test,47,0.34215017064846415,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9965870307167235,-0.0034129692832764505,-0.006825938566552901,0.0255759385665529,0.03924914675767918
ARC-Challenge,test,53,0.3455631399317406,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9948805460750854,0.0,-0.004266211604095563,0.028156996587030716,0.041808873720136516
ARC-Challenge,test,59,0.3430034129692833,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9897610921501706,-0.002559726962457338,-0.007679180887372013,0.025597269624573378,0.03754266211604096
ARC-Challenge,test,61,0.3447098976109215,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9965870307167235,-0.0008532423208191126,-0.0034129692832764505,0.028156996587030716,0.04264078498293516
ARC-Challenge,test,67,0.3430034129692833,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9948805460750854,-0.002559726962457338,-0.006825938566552901,0.025597269624573378,0.03839590443686007
ARC-Challenge,test,71,0.3438566552901024,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9948805460750854,-0.0017064846416382253,-0.005119453924914676,0.026450511945392493,0.042662116040955635
ARC-Challenge,test,73,0.3438566552901024,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9965870307167235,-0.0017064846416382253,-0.005119453924914676,0.027282423208191128,0.04010238907849829
