eval_name,candidate,accuracy,correct,rows,source_top1_accuracy,source_top2_oracle_accuracy,top1_gold_count,top2_gold_count,outside_top2_gold_count,gold_top1_rate,gold_top2_rate,gold_outside_top2_rate,top2_opportunity_rate,outside_top2_gold_rate,recoverable_headroom_vs_source_top1,switch_count,switch_rate,switch_precision,switch_recall_over_gold_top2,false_switch_away_from_gold_top1_rate,good_switch_count,false_switch_from_gold_top1_count,missed_switch_count,net_switch_gain_count,harmful_switch_from_outside_top2_gold_count,outside_top2_prediction_count,outside_top2_prediction_rate,net_correct_gain_vs_source_top1,net_accuracy_gain_vs_source_top1,headroom_capture_vs_source_top1,best_label_copy_accuracy,minus_best_label_copy,paired_ci95_low_vs_best_label_copy,paired_ci95_high_vs_best_label_copy,score_only_switch_accuracy,minus_score_only_switch,paired_ci95_low_vs_score_only_switch,paired_ci95_high_vs_score_only_switch
validation_first1024,source_label_copy,0.4619140625,473,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,0,0.0,,0.0,0.0,0,0,260,0,0,0,0.0,0,0.0,0.0,0.4619140625,0.0,0.0,0.0,,,,
validation_first1024,trained_choice_bias_label_copy,0.458984375,470,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,119,0.1162109375,0.3277310924369748,0.15,0.09302325581395349,39,44,221,-5,36,11,0.0107421875,-3,-0.0029296875,-0.011538461538461539,0.4619140625,-0.0029296875,-0.0205078125,0.016137695312499978,,,,
validation_first1024,top2_oracle,0.7158203125,733,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,260,0.25390625,1.0,1.0,0.0,260,0,0,260,0,0,0.0,260,0.25390625,1.0,0.4619140625,0.25390625,0.228515625,0.28125,0.4306640625,0.28515625,0.2563232421875,0.3125
validation_first1024,always_switch_to_top2,0.25390625,260,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,1024,1.0,0.25390625,1.0,1.0,260,473,0,-213,291,0,0.0,-213,-0.2080078125,-0.8192307692307692,0.4619140625,-0.2080078125,-0.2578125,-0.15568847656250007,0.4306640625,-0.1767578125,-0.22080078125,-0.13425292968750002
validation_first1024,random_switch_same_rate_as_selected,0.37890625,388,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,354,0.345703125,0.24293785310734464,0.33076923076923076,0.36152219873150104,86,171,174,-85,97,0,0.0,-85,-0.0830078125,-0.3269230769230769,0.4619140625,-0.0830078125,-0.1118408203125,-0.052685546875000044,0.4306640625,-0.0517578125,-0.0844970703125,-0.021484375
validation_first1024,score_switch,0.4306640625,441,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,290,0.283203125,0.27241379310344827,0.3038461538461538,0.2346723044397463,79,111,181,-32,100,0,0.0,-32,-0.03125,-0.12307692307692308,0.4619140625,-0.03125,-0.05859375,-0.0087890625,,,,
validation_first1024,hidden_contrast_switch,0.4482421875,459,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,343,0.3349609375,0.3294460641399417,0.4346153846153846,0.26849894291754756,113,127,147,-14,103,0,0.0,-14,-0.013671875,-0.05384615384615385,0.4619140625,-0.013671875,-0.041015625,0.0146484375,0.4306640625,0.017578125,-0.0171142578125,0.048876953124999956
validation_first1024,hidden_score_switch,0.44921875,460,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,354,0.345703125,0.3333333333333333,0.45384615384615384,0.2769556025369979,118,131,142,-13,105,0,0.0,-13,-0.0126953125,-0.05,0.4619140625,-0.0126953125,-0.0415283203125,0.019067382812499978,0.4306640625,0.0185546875,-0.0161376953125,0.0517578125
validation_first1024,wrong_hidden_score_switch_control,0.40625,416,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,359,0.3505859375,0.28690807799442897,0.39615384615384613,0.3382663847780127,103,160,157,-57,96,0,0.0,-57,-0.0556640625,-0.21923076923076923,0.4619140625,-0.0556640625,-0.0859375,-0.0244140625,0.4306640625,-0.0244140625,-0.0591064453125,0.013208007812499978
validation_first1024,label_permuted_hidden_score_switch_control,0.4267578125,437,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,194,0.189453125,0.27835051546391754,0.2076923076923077,0.19027484143763213,54,90,206,-36,50,0,0.0,-36,-0.03515625,-0.13846153846153847,0.4619140625,-0.03515625,-0.0576171875,-0.0126953125,0.4306640625,-0.00390625,-0.0361328125,0.026879882812499978
