profile,record_bytes,batch_size,line_bytes_per_request,dma_bytes_per_request,p50_ns_per_request,p95_ns_per_request,cv,ratio_p50_vs_packet_same_batch,ratio_p95_vs_packet_same_batch,source_text_exposed,source_kv_exposed
packet_1b_payload_4b_record,4,1,64.0,128.0,3.84897,5.274117,0.13919728,1.0,1.0,False,False
packet_1b_payload_4b_record,4,4,16.0,32.0,1.187205,1.189411,0.00167691,1.0,1.0,False,False
packet_1b_payload_4b_record,4,16,4.0,8.0,0.659525,0.666499,0.01100422,1.0,1.0,False,False
packet_1b_payload_4b_record,4,64,4.0,4.0,0.654399,0.655591,0.00145078,1.0,1.0,False,False
packet_1b_payload_4b_record,4,256,4.0,4.0,0.664711,0.666857,0.00133543,1.0,1.0,False,False
packet_2b_payload_5b_record,5,1,64.0,128.0,4.11354,4.134998,0.00313647,1.0687378701314898,0.7840171160404671,False,False
packet_2b_payload_5b_record,5,4,16.0,32.0,1.654253,1.667068,0.00577796,1.3934013081144367,1.4015912077490456,False,False
packet_2b_payload_5b_record,5,16,8.0,8.0,0.654236,0.656322,0.00260137,0.9919805920927941,0.9847306597609299,False,False
packet_2b_payload_5b_record,5,64,5.0,6.0,0.641421,0.644327,0.00181649,0.9801680626040078,0.9828185560814593,False,False
packet_2b_payload_5b_record,5,256,5.0,5.0,0.660728,0.661845,0.00120759,0.9940079222398907,0.9924841457763808,False,False
pq_packet_4b_payload_7b_record,7,1,64.0,128.0,4.76417,4.78597,0.00349699,1.2377778990223358,0.9074447912323521,False,False
pq_packet_4b_payload_7b_record,7,4,16.0,32.0,1.743302,1.746431,0.00101228,1.468408573077101,1.4683158302722945,False,False
pq_packet_4b_payload_7b_record,7,16,8.0,8.0,0.65735,0.658915,0.00196338,0.99670217201774,0.9886211382162615,False,False
pq_packet_4b_payload_7b_record,7,64,7.0,8.0,0.655892,0.656935,0.00289519,1.0022814827039774,1.0020500586493712,False,False
pq_packet_4b_payload_7b_record,7,256,7.0,7.0,0.692504,0.693652,0.00189869,1.041812155959507,1.0401810283164157,False,False
query_aware_text_14b,14,1,64.0,128.0,4.755408,4.775226,0.00249995,1.235501445841355,0.9054076729810885,True,False
query_aware_text_14b,14,4,16.0,32.0,1.586945,1.591326,0.00157968,1.3367068029531546,1.337910949200907,True,False
query_aware_text_14b,14,16,16.0,16.0,0.6513,0.67091,0.01739008,0.9875289033774307,1.0066181644683638,True,False
query_aware_text_14b,14,64,14.0,14.0,0.659439,0.67133,0.01177776,1.0077017232605796,1.0240073460434935,True,False
query_aware_text_14b,14,256,14.0,14.0,0.771904,0.77399,0.00140918,1.161262563730704,1.1606536333876678,True,False
full_hidden_log_370b,370,1,384.0,384.0,5.678842,5.73949,0.00916949,1.4754186184875435,1.0882371399800193,True,False
full_hidden_log_370b,370,4,384.0,384.0,5.188232,5.237854,0.00693431,4.370123104265902,4.403737648298191,True,False
full_hidden_log_370b,370,16,372.0,376.0,5.155492,5.177547,0.0157136,7.816977370076948,7.768274220966573,True,False
full_hidden_log_370b,370,64,370.0,370.0,5.763546,5.973129,0.03854527,8.807388153099255,9.111060096920184,True,False
full_hidden_log_370b,370,256,370.0,370.0,6.366967,6.582142,0.03689089,9.578549174001934,9.870395002226864,True,False
qjl_1bit_kv_floor_21504b,21504,1,21504.0,21504.0,241.987179,243.589744,0.01171421,62.87063266276432,46.185881731482255,False,True
qjl_1bit_kv_floor_21504b,21504,4,21504.0,21504.0,239.102564,243.589744,0.01333851,201.3995594695103,204.79863058270018,False,True
qjl_1bit_kv_floor_21504b,21504,16,21504.0,21504.0,861.538462,869.551282,0.00542091,1306.3014472537052,1304.6550437435017,False,True
qjl_1bit_kv_floor_21504b,21504,64,21504.0,21504.0,398.31543,1000.244141,0.43662251,608.6736532299102,1525.7136553125347,False,True
qjl_1bit_kv_floor_21504b,21504,256,21504.0,21504.0,665.008545,674.560547,0.02404989,1000.4476306244368,1011.5520223976055,False,True
kivi_2bit_kv_floor_43008b,43008,1,43008.0,43008.0,595.512821,599.358974,0.00357428,154.72004744126352,113.64157715879264,False,True
kivi_2bit_kv_floor_43008b,43008,4,43008.0,43008.0,687.820513,689.74359,0.0029834,579.3611996243277,579.9034900467543,False,True
kivi_2bit_kv_floor_43008b,43008,16,43008.0,43008.0,687.011719,696.289062,0.00678314,1041.6765384178007,1044.6963341280332,False,True
kivi_2bit_kv_floor_43008b,43008,64,43008.0,43008.0,1173.217773,1197.875977,0.01530651,1792.8171849284613,1827.1696484546003,False,True
kivi_2bit_kv_floor_43008b,43008,256,43008.0,43008.0,1374.908447,1386.71875,0.02430536,2068.430411110994,2079.4844321946084,False,True
