profile,record_bytes,batch_size,line_bytes_per_request,dma_bytes_per_request,p50_ns_per_request,p95_ns_per_request,cv,ratio_p50_vs_packet_same_batch,ratio_p95_vs_packet_same_batch,source_text_exposed,source_kv_exposed
packet_1b_payload_4b_record,4,1,64.0,128.0,3.802851,3.86079,0.01255675,1.0,1.0,False,False
packet_1b_payload_4b_record,4,4,16.0,32.0,1.17958,1.259241,0.02354162,1.0,1.0,False,False
packet_1b_payload_4b_record,4,16,4.0,8.0,0.648651,0.653062,0.00590277,1.0,1.0,False,False
packet_1b_payload_4b_record,4,64,4.0,4.0,0.643432,0.64639,0.00246699,1.0,1.0,False,False
packet_1b_payload_4b_record,4,256,4.0,4.0,0.6552,0.687104,0.01546708,1.0,1.0,False,False
packet_2b_payload_5b_record,5,1,64.0,128.0,4.090867,4.154467,0.00649798,1.075736861633548,1.076066556326555,False,False
packet_2b_payload_5b_record,5,4,16.0,32.0,1.647696,1.683123,0.00949916,1.3968497261737227,1.3366170574179206,False,False
packet_2b_payload_5b_record,5,16,8.0,8.0,0.646072,0.649309,0.00228535,0.9960240560794634,0.9942532255742946,False,False
packet_2b_payload_5b_record,5,64,5.0,6.0,0.645551,0.64896,0.00285634,1.0032932773004761,1.0039759278454183,False,False
packet_2b_payload_5b_record,5,256,5.0,5.0,0.664932,0.700788,0.01697504,1.0148534798534798,1.0199154713114753,False,False
pq_packet_4b_payload_7b_record,7,1,64.0,128.0,4.679341,4.739285,0.0045988,1.2304823407490852,1.227542808596168,False,False
pq_packet_4b_payload_7b_record,7,4,16.0,32.0,1.713072,1.720967,0.00166122,1.452272842876278,1.366670081422063,False,False
pq_packet_4b_payload_7b_record,7,16,8.0,8.0,0.643653,0.64791,0.00254819,0.9922947779314301,0.9921110093681763,False,False
pq_packet_4b_payload_7b_record,7,64,7.0,8.0,0.643516,0.647291,0.00259396,1.0001305499260216,1.0013938953263508,False,False
pq_packet_4b_payload_7b_record,7,256,7.0,7.0,0.679881,0.683434,0.0019547,1.0376694139194138,0.9946587416169895,False,False
query_aware_text_14b,14,1,64.0,128.0,4.681245,4.693996,0.00242859,1.2309830177411631,1.2158123078437315,True,False
query_aware_text_14b,14,4,16.0,32.0,1.557359,1.564257,0.00160211,1.3202656877871783,1.2422221004557508,True,False
query_aware_text_14b,14,16,16.0,16.0,0.647493,0.653543,0.00345932,0.9982147564715078,1.0007365303753701,True,False
query_aware_text_14b,14,64,14.0,14.0,0.652017,0.653582,0.00160717,1.0133425132725757,1.011126409752626,True,False
query_aware_text_14b,14,256,14.0,14.0,0.777213,0.782611,0.00321215,1.1862225274725275,1.1389993363450073,True,False
full_hidden_log_370b,370,1,384.0,384.0,5.60716,5.710192,0.00759039,1.4744621863964695,1.4790216510092493,True,False
full_hidden_log_370b,370,4,384.0,384.0,5.079249,5.108194,0.00209772,4.305980942369318,4.056565820204393,True,False
full_hidden_log_370b,370,16,372.0,376.0,4.855617,4.977602,0.00941418,7.485715739280445,7.621944011441486,True,False
full_hidden_log_370b,370,64,370.0,370.0,5.681348,5.782659,0.00868197,8.829756679804548,8.94608363371958,True,False
full_hidden_log_370b,370,256,370.0,370.0,6.161088,6.226911,0.00617493,9.403369963369963,9.062545116896423,True,False
qjl_1bit_kv_floor_21504b,21504,1,21504.0,21504.0,245.333654,274.853801,0.05392587,64.51308610303164,71.1910777327956,False,True
qjl_1bit_kv_floor_21504b,21504,4,21504.0,21504.0,233.97821,280.541536,0.08561367,198.35722036657114,222.78621487070384,False,True
qjl_1bit_kv_floor_21504b,21504,16,21504.0,21504.0,341.766827,829.58734,0.37928368,526.888614987104,1270.3041058888743,False,True
qjl_1bit_kv_floor_21504b,21504,64,21504.0,21504.0,348.953247,349.914551,0.0010442,542.3311973914881,541.3365785361779,False,True
qjl_1bit_kv_floor_21504b,21504,256,21504.0,21504.0,680.725098,693.664551,0.03441409,1038.9577197802198,1009.5481193531109,False,True
kivi_2bit_kv_floor_43008b,43008,1,43008.0,43008.0,577.70568,679.32388,0.06890667,151.9138351726113,175.9546310470137,False,True
kivi_2bit_kv_floor_43008b,43008,4,43008.0,43008.0,683.223842,1520.589649,0.32248944,579.2094152155852,1207.5445836023446,False,True
kivi_2bit_kv_floor_43008b,43008,16,43008.0,43008.0,686.458333,693.870192,0.00417061,1058.286093754577,1062.4874697961295,False,True
kivi_2bit_kv_floor_43008b,43008,64,43008.0,43008.0,1136.138916,1190.917969,0.0233991,1765.7482313593357,1842.4139745354971,False,True
kivi_2bit_kv_floor_43008b,43008,256,43008.0,43008.0,1314.273834,1346.382141,0.20760159,2005.9124450549452,1959.502696826099,False,True
