profile,record_bytes,batch_size,line_bytes_per_request,dma_bytes_per_request,p50_ns_per_request,p95_ns_per_request,cv,ratio_p50_vs_packet_same_batch,ratio_p95_vs_packet_same_batch,source_text_exposed,source_kv_exposed
packet_1b_payload_4b_record,4,1,64.0,128.0,3.744584,3.896646,0.0136346,1.0,1.0,False,False
packet_1b_payload_4b_record,4,4,16.0,32.0,1.17144,1.175746,0.00270259,1.0,1.0,False,False
packet_1b_payload_4b_record,4,16,4.0,8.0,0.644144,0.657991,0.00725932,1.0,1.0,False,False
packet_1b_payload_4b_record,4,64,4.0,4.0,0.642475,0.646144,0.00249307,1.0,1.0,False,False
packet_1b_payload_4b_record,4,256,4.0,4.0,0.654202,0.674274,0.01120398,1.0,1.0,False,False
packet_2b_payload_5b_record,5,1,64.0,128.0,4.05435,4.07625,0.00208539,1.0827237418095041,1.0460919467665268,False,False
packet_2b_payload_5b_record,5,4,16.0,32.0,1.648623,1.680288,0.00904795,1.4073473673427574,1.4291249980863214,False,False
packet_2b_payload_5b_record,5,16,8.0,8.0,0.644582,0.646412,0.00155926,1.0006799721801336,0.9824024948669511,False,False
packet_2b_payload_5b_record,5,64,5.0,6.0,0.64346,0.67079,0.01804421,1.0015331335849644,1.0381432002773374,False,False
packet_2b_payload_5b_record,5,256,5.0,5.0,0.665486,0.708965,0.02407748,1.0172484951131302,1.0514494107736616,False,False
pq_packet_4b_payload_7b_record,7,1,64.0,128.0,4.691415,4.792919,0.00918522,1.2528534544825274,1.2300113995472004,False,False
pq_packet_4b_payload_7b_record,7,4,16.0,32.0,1.716116,1.760826,0.00837346,1.4649627808509185,1.497624486921495,False,False
pq_packet_4b_payload_7b_record,7,16,8.0,8.0,0.644005,0.650629,0.00342323,0.9997842097419211,0.988811397116374,False,False
pq_packet_4b_payload_7b_record,7,64,7.0,8.0,0.643705,0.680982,0.01836923,1.0019144713802093,1.053916773969889,False,False
pq_packet_4b_payload_7b_record,7,256,7.0,7.0,0.680513,0.684868,0.00234418,1.040218464633248,1.015711713635703,False,False
query_aware_text_14b,14,1,64.0,128.0,4.676994,4.693775,0.00224178,1.2490022923774708,1.2045679797446316,True,False
query_aware_text_14b,14,4,16.0,32.0,1.558337,1.56693,0.00214835,1.330274704637028,1.3327113169000788,True,False
query_aware_text_14b,14,16,16.0,16.0,0.646202,0.653712,0.00385934,1.0031949377778882,0.9934968715377566,True,False
query_aware_text_14b,14,64,14.0,14.0,0.652226,0.65958,0.00449635,1.015177244250749,1.0207941263866878,True,False
query_aware_text_14b,14,256,14.0,14.0,0.777239,0.780004,0.00175093,1.1880718799392238,1.156805690268348,True,False
full_hidden_log_370b,370,1,384.0,384.0,5.698821,5.771874,0.00698763,1.5218836057623488,1.4812415600493347,True,False
full_hidden_log_370b,370,4,384.0,384.0,5.078904,5.167808,0.00669578,4.335607457488219,4.39534389230327,True,False
full_hidden_log_370b,370,16,372.0,376.0,4.830462,4.911096,0.0055847,7.499040587197893,7.463773820614567,True,False
full_hidden_log_370b,370,64,370.0,370.0,5.715463,5.776112,0.01229212,8.896008404996303,8.939357171156894,True,False
full_hidden_log_370b,370,256,370.0,370.0,6.22312,6.478827,0.01640604,9.512535883412157,9.608596801893592,True,False
qjl_1bit_kv_floor_21504b,21504,1,21504.0,21504.0,266.522471,323.019306,0.09325792,71.17545527086587,82.8967542856087,False,True
qjl_1bit_kv_floor_21504b,21504,4,21504.0,21504.0,234.298646,236.141152,0.00740098,200.00908796011745,200.84367882178634,False,True
qjl_1bit_kv_floor_21504b,21504,16,21504.0,21504.0,573.577724,843.950321,0.40470403,890.4495330236716,1282.6168154275667,False,True
qjl_1bit_kv_floor_21504b,21504,64,21504.0,21504.0,381.04248,398.895264,0.01935194,593.085302930075,617.3473157686212,False,True
qjl_1bit_kv_floor_21504b,21504,256,21504.0,21504.0,609.725952,674.697876,0.05295453,932.0148088816605,1000.628640582315,False,True
kivi_2bit_kv_floor_43008b,43008,1,43008.0,43008.0,588.400224,710.045662,0.06775216,157.13366932081107,182.2196991977203,False,True
kivi_2bit_kv_floor_43008b,43008,4,43008.0,43008.0,836.564653,1669.123538,0.26805709,714.133590282046,1419.6293570209893,False,True
kivi_2bit_kv_floor_43008b,43008,16,43008.0,43008.0,679.246795,807.692308,0.05776854,1054.4952603765616,1227.5126985019554,False,True
kivi_2bit_kv_floor_43008b,43008,64,43008.0,43008.0,1138.183594,1143.90564,0.04681681,1771.5609074283047,1770.3571340134704,False,True
kivi_2bit_kv_floor_43008b,43008,256,43008.0,43008.0,1366.340637,1379.558563,0.00590752,2088.560776335138,2045.9910407341822,False,True
