profile,record_bytes,batch_size,line_bytes_per_request,dma_bytes_per_request,p50_ns_per_request,p95_ns_per_request,cv,ratio_p50_vs_packet_same_batch,ratio_p95_vs_packet_same_batch,source_text_exposed,source_kv_exposed
packet_2b_payload_5b_record,5,1,64.0,128.0,4.064068,4.186817,0.01306385,1.0,1.0,False,False
packet_2b_payload_5b_record,5,4,16.0,32.0,1.635589,1.679733,0.01126448,1.0,1.0,False,False
packet_2b_payload_5b_record,5,16,8.0,8.0,0.663139,0.667572,0.01451705,1.0,1.0,False,False
packet_2b_payload_5b_record,5,64,5.0,6.0,0.648052,0.687764,0.02522322,1.0,1.0,False,False
packet_2b_payload_5b_record,5,256,5.0,5.0,0.661504,0.665229,0.00275981,1.0,1.0,False,False
pq_packet_4b_payload_7b_record,7,1,64.0,128.0,4.660174,4.677802,0.00176494,1.1466771717402366,1.1172692763977983,False,False
pq_packet_4b_payload_7b_record,7,4,16.0,32.0,1.709819,1.711644,0.00111509,1.0453842621832257,1.0189976621284453,False,False
pq_packet_4b_payload_7b_record,7,16,8.0,8.0,0.645668,0.663035,0.01218963,0.9736540906205184,0.9932037293355623,False,False
pq_packet_4b_payload_7b_record,7,64,7.0,8.0,0.643269,0.660897,0.01206917,0.9926194194293051,0.9609357279531932,False,False
pq_packet_4b_payload_7b_record,7,256,7.0,7.0,0.678214,0.686507,0.00569461,1.025260618227554,1.0319859777610416,False,False
query_aware_text_14b,14,1,64.0,128.0,4.668311,4.708156,0.00515901,1.1486793528061048,1.124519175306683,True,False
query_aware_text_14b,14,4,16.0,32.0,1.610205,3.199339,0.33564999,0.9844802086587768,1.904671159047301,True,False
query_aware_text_14b,14,16,16.0,16.0,0.946805,1.582042,0.30085813,1.4277625052967777,2.3698447508283746,True,False
query_aware_text_14b,14,64,14.0,14.0,0.672894,0.691878,0.02122737,1.0383333436205737,1.0059817030260378,True,False
query_aware_text_14b,14,256,14.0,14.0,0.774595,0.80182,0.01847902,1.1709604174729102,1.205329292619534,True,False
full_hidden_log_370b,370,1,384.0,384.0,5.585114,5.598897,0.00105338,1.37426686758194,1.3372681442728451,True,False
full_hidden_log_370b,370,4,384.0,384.0,5.064122,5.146824,0.00743503,3.096206932181618,3.0640726829799734,True,False
full_hidden_log_370b,370,16,372.0,376.0,5.07256,5.146994,0.01635828,7.649316357505741,7.710020791764784,True,False
full_hidden_log_370b,370,64,370.0,370.0,5.362736,5.652241,0.03281818,8.275163104195343,8.218285632862434,True,False
full_hidden_log_370b,370,256,370.0,370.0,6.408347,6.446968,0.04485691,9.687540816079721,9.691351399292575,True,False
qjl_1bit_kv_floor_21504b,21504,1,21504.0,21504.0,232.494793,238.904022,0.01617505,57.20740720873765,57.06101365309256,False,True
qjl_1bit_kv_floor_21504b,21504,4,21504.0,21504.0,233.333333,248.397436,0.03027843,142.66012610747566,147.879118883775,False,True
qjl_1bit_kv_floor_21504b,21504,16,21504.0,21504.0,335.737179,337.660256,0.0026404,506.2847743836511,505.803502843139,False,True
qjl_1bit_kv_floor_21504b,21504,64,21504.0,21504.0,400.146484,404.174805,0.00602797,617.4604568769173,587.6649621090955,False,True
qjl_1bit_kv_floor_21504b,21504,256,21504.0,21504.0,638.275146,648.101807,0.00981721,964.8847867888932,974.2536885794216,False,True
kivi_2bit_kv_floor_43008b,43008,1,43008.0,43008.0,575.961538,579.487179,0.00311423,141.72044808305375,138.40757286501895,False,True
kivi_2bit_kv_floor_43008b,43008,4,43008.0,43008.0,670.833333,676.923077,0.00384145,410.14786294111786,402.9944503084717,False,True
kivi_2bit_kv_floor_43008b,43008,16,43008.0,43008.0,736.538462,750.320513,0.0088184,1110.6848820533853,1123.9544393713336,False,True
kivi_2bit_kv_floor_43008b,43008,64,43008.0,43008.0,1164.672852,1169.555664,0.00251359,1797.190429163092,1700.518875660837,False,True
kivi_2bit_kv_floor_43008b,43008,256,43008.0,43008.0,1329.223633,1335.418701,0.00669901,2009.3962137795086,2007.4571328068982,False,True
