seed,condition,base_accuracy,target_public_accuracy,receiver_accuracy,receiver_minus_base,receiver_minus_target_public,ci95_low_vs_base,ci95_high_vs_base,override_rate,help_count,harm_count
47,matched_source_private_packet,0.378,0.372,0.424,0.046,0.052,0.007950000000000002,0.08404999999999974,0.28,58,35
47,source_label_copy,0.378,0.372,0.372,-0.006,0.0,-0.066,0.056,0.96,115,118
47,same_byte_structured_text,0.35,0.372,0.378,0.028,0.006,0.0,0.056,0.196,32,18
47,target_public_ridge,0.372,0.372,0.372,0.0,0.0,0.0,0.0,0.836,0,0
47,zero_source,0.276,0.372,0.372,0.096,0.0,0.04,0.152,0.95,126,78
47,shuffled_source_packet,0.25,0.372,0.364,0.114,-0.008,0.06,0.168,0.8,127,70
47,random_same_byte_packet,0.228,0.372,0.37,0.142,-0.002,0.088,0.194,0.842,135,64
47,target_derived_sidecar,0.276,0.372,0.352,0.076,-0.02,0.04,0.112,0.312,61,23
47,candidate_derangement,0.21,0.372,0.292,0.082,-0.08,0.045950000000000005,0.12,0.29,66,25
47,label_permutation,0.378,0.372,0.424,0.046,0.052,0.008,0.084,0.28,58,35
53,matched_source_private_packet,0.378,0.372,0.418,0.04,0.046,-0.008,0.086,0.546,86,66
53,source_label_copy,0.378,0.372,0.414,0.036,0.042,-0.014,0.08804999999999973,0.598,93,75
53,same_byte_structured_text,0.35,0.372,0.43,0.08,0.058,0.036,0.126,0.542,84,44
53,target_public_ridge,0.372,0.372,0.372,0.0,0.0,0.0,0.0,0.068,0,0
53,zero_source,0.276,0.372,0.352,0.076,-0.02,0.028,0.12,0.626,91,53
53,shuffled_source_packet,0.27,0.372,0.374,0.104,0.002,0.052,0.152,0.646,109,57
53,random_same_byte_packet,0.234,0.372,0.362,0.128,-0.01,0.08,0.176,0.668,116,52
53,target_derived_sidecar,0.274,0.372,0.364,0.09,-0.008,0.044,0.136,0.606,91,46
53,candidate_derangement,0.212,0.372,0.346,0.134,-0.026,0.09,0.18,0.582,107,40
53,label_permutation,0.378,0.372,0.418,0.04,0.046,-0.008,0.09,0.546,86,66
59,matched_source_private_packet,0.378,0.372,0.422,0.044,0.05,0.012,0.074,0.204,43,21
59,source_label_copy,0.378,0.372,0.4,0.022,0.028,0.004,0.04,0.07,16,5
59,same_byte_structured_text,0.35,0.372,0.372,0.022,0.0,-0.034,0.078,1.0,116,105
59,target_public_ridge,0.372,0.372,0.372,0.0,0.0,0.0,0.0,0.0,0,0
59,zero_source,0.276,0.372,0.304,0.028,-0.068,0.012,0.046,0.074,17,3
59,shuffled_source_packet,0.27,0.372,0.316,0.046,-0.056,0.024,0.07,0.144,30,7
59,random_same_byte_packet,0.244,0.372,0.288,0.044,-0.084,0.018,0.07,0.156,33,11
59,target_derived_sidecar,0.276,0.372,0.316,0.04,-0.056,0.012,0.068,0.216,36,16
59,candidate_derangement,0.21,0.372,0.27,0.06,-0.102,0.03,0.09,0.192,44,14
59,label_permutation,0.378,0.372,0.422,0.044,0.05,0.014,0.074,0.204,43,21
61,matched_source_private_packet,0.38,0.372,0.394,0.014,0.022,-0.036,0.066,0.616,88,81
61,source_label_copy,0.378,0.372,0.372,-0.006,0.0,-0.066,0.054,1.0,115,118
61,same_byte_structured_text,0.35,0.372,0.35,0.0,-0.022,0.0,0.0,0.0,0,0
61,target_public_ridge,0.372,0.372,0.372,0.0,0.0,0.0,0.0,1.0,0,0
61,zero_source,0.276,0.372,0.372,0.096,0.0,0.038,0.1480499999999997,1.0,126,78
61,shuffled_source_packet,0.264,0.372,0.372,0.108,0.0,0.05,0.166,0.986,135,81
61,random_same_byte_packet,0.256,0.372,0.37,0.114,-0.002,0.058,0.17,0.994,132,75
61,target_derived_sidecar,0.276,0.372,0.364,0.088,-0.008,0.042,0.134,0.616,94,50
61,candidate_derangement,0.208,0.372,0.332,0.124,-0.04,0.078,0.17,0.634,107,45
61,label_permutation,0.38,0.372,0.394,0.014,0.022,-0.038,0.066,0.616,88,81
67,matched_source_private_packet,0.378,0.372,0.402,0.024,0.03,-0.004,0.05,0.168,29,17
67,source_label_copy,0.378,0.372,0.376,-0.002,0.004,-0.006,0.0,0.006,0,1
67,same_byte_structured_text,0.35,0.372,0.372,0.022,0.0,-0.03604999999999999,0.078,1.0,116,105
67,target_public_ridge,0.372,0.372,0.372,0.0,0.0,0.0,0.0,0.0,0,0
67,zero_source,0.276,0.372,0.276,0.0,-0.096,-0.006,0.006,0.006,1,1
67,shuffled_source_packet,0.278,0.372,0.292,0.014,-0.08,0.004,0.026,0.024,8,1
67,random_same_byte_packet,0.25,0.372,0.262,0.012,-0.11,0.004,0.022,0.02,6,0
67,target_derived_sidecar,0.274,0.372,0.316,0.042,-0.056,0.02,0.066,0.148,28,7
67,candidate_derangement,0.21,0.372,0.248,0.038,-0.124,0.01,0.066,0.16,34,15
67,label_permutation,0.378,0.372,0.402,0.024,0.03,-0.004,0.05,0.168,29,17
