row_id,contribution,method,surface,status,reviewer_bucket,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,p50_latency_ms,evidence_complete,missing_evidence,pass_reason,pruning_reason,comparator,note
rate_frontier::core seed29,byte-rate systems frontier,2-byte diagnostic packet,core seed29,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,2,,,,0.002334,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.750; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,JSON/free-text/full-log relay,Oracle at 2.0 bytes; JSON/free-text need 21.0/17.0 bytes; query-aware span needs 14.0 bytes; full log is 183.2x larger.
rate_frontier::holdout seed30,byte-rate systems frontier,2-byte diagnostic packet,holdout seed30,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,2,,,,0.002334,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.750; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,JSON/free-text/full-log relay,Oracle at 2.0 bytes; JSON/free-text need 21.0/17.0 bytes; query-aware span needs 14.0 bytes; full log is 186.7x larger.
slot_scalar::source_private_tool_trace_control_stability_20260429_seed29_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,6,,0.712891,0.654297,,False,valid_rate,beats target by 0.750; beats best destructive/control by 0.750; paired CI lower vs target 0.713; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.307; scalar-control delta=0.750
slot_scalar::source_private_tool_trace_control_stability_20260429_seed31_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,positive_needs_more_evidence,1,0.25,0.257812,0.75,0.742188,6,,0.714844,0.777344,,False,valid_rate,beats target by 0.750; beats best destructive/control by 0.742; paired CI lower vs target 0.715; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.188; scalar-control delta=0.742
slot_scalar::source_private_tool_trace_control_stability_20260429_seed33_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,6,,0.712891,0.755859,,False,valid_rate,beats target by 0.750; beats best destructive/control by 0.750; paired CI lower vs target 0.713; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.207; scalar-control delta=0.750
slot_scalar::source_private_tool_trace_control_stability_20260429_seed35_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,positive_needs_more_evidence,1,0.25,0.261719,0.75,0.738281,6,,0.712891,0.783203,,False,valid_rate,beats target by 0.750; beats best destructive/control by 0.738; paired CI lower vs target 0.713; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.182; scalar-control delta=0.738
slot_scalar::source_private_tool_trace_control_stability_20260429_seed37_slot_no_intercept,learned scalar packet,6-byte slot/no-intercept scalar packet,same-codebook,pass,positive_needs_more_evidence,1,0.25,0.25,0.75,0.75,6,,0.710938,0.763672,,False,valid_rate,beats target by 0.750; beats best destructive/control by 0.750; paired CI lower vs target 0.711; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.201; scalar-control delta=0.750
slot_scalar::source_private_tool_trace_slot_remap_20260429_seed101,learned scalar packet,6-byte slot/no-intercept scalar packet,remap 101,pass,positive_needs_more_evidence,0.462891,0.25,0.263672,0.212891,0.199219,6,,0.15625,0.0722656,,False,valid_rate,beats target by 0.213; beats best destructive/control by 0.199; paired CI lower vs target 0.156; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.332; scalar-control delta=0.199
slot_scalar::source_private_tool_trace_slot_remap_20260429_seed103,learned scalar packet,6-byte slot/no-intercept scalar packet,remap 103,pass,positive_needs_more_evidence,0.507812,0.25,0.265625,0.257812,0.242188,6,,0.199219,0.126953,,False,valid_rate,beats target by 0.258; beats best destructive/control by 0.242; paired CI lower vs target 0.199; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.316; scalar-control delta=0.242
slot_scalar::source_private_tool_trace_slot_remap_20260429_seed107,learned scalar packet,6-byte slot/no-intercept scalar packet,remap 107,pass,positive_needs_more_evidence,0.492188,0.25,0.25,0.242188,0.242188,6,,0.185547,0.103516,,False,valid_rate,beats target by 0.242; beats best destructive/control by 0.242; paired CI lower vs target 0.186; missing reviewer evidence: valid_rate,,raw sign sketch,raw_sign=0.330; scalar-control delta=0.242
wyner_ziv::remap101::budget2,learned Wyner-Ziv syndrome packet,2-byte scalar WZ packet,remap 101,pass,positive_needs_more_evidence,0.417969,0.25,0.263672,0.167969,0.154297,2,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.168; beats best destructive/control by 0.154; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.301; qjl=0.396; canonical_rasp=0.350; query_text_at_budget=0.250; packet_vs_query_text_oracle=7.0x
wyner_ziv::remap101::budget4,learned Wyner-Ziv syndrome packet,4-byte scalar WZ packet,remap 101,pass,positive_needs_more_evidence,0.431641,0.25,0.263672,0.181641,0.167969,4,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.182; beats best destructive/control by 0.168; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.326; qjl=0.461; canonical_rasp=0.494; query_text_at_budget=0.250; packet_vs_query_text_oracle=3.5x
wyner_ziv::remap101::budget6,learned Wyner-Ziv syndrome packet,6-byte scalar WZ packet,remap 101,pass,positive_needs_more_evidence,0.462891,0.25,0.263672,0.212891,0.199219,6,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.213; beats best destructive/control by 0.199; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.332; qjl=0.447; canonical_rasp=0.494; query_text_at_budget=0.250; packet_vs_query_text_oracle=2.3x
wyner_ziv::remap103::budget2,learned Wyner-Ziv syndrome packet,2-byte scalar WZ packet,remap 103,pass,positive_needs_more_evidence,0.435547,0.25,0.25,0.185547,0.185547,2,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.186; beats best destructive/control by 0.186; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.303; qjl=0.439; canonical_rasp=0.363; query_text_at_budget=0.250; packet_vs_query_text_oracle=7.0x
