remap_slot_seed,variant,n,accuracy,resident_table_decode_p50_ms,public_distance_table_build_p50_ms,table_prediction_mismatch_count,max_batch_prediction_mismatch_count,batch64_speedup_vs_scalar_table_p50,batch_microbench_pass,batch1_per_request_p50_ms,batch1_raw_payload_128b_bytes,batch1_packet_record_128b_bytes,batch1_packet_record_64b_bytes,batch8_per_request_p50_ms,batch8_raw_payload_128b_bytes,batch8_packet_record_128b_bytes,batch8_packet_record_64b_bytes,batch64_per_request_p50_ms,batch64_raw_payload_128b_bytes,batch64_packet_record_128b_bytes,batch64_packet_record_64b_bytes,batch256_per_request_p50_ms,batch256_raw_payload_128b_bytes,batch256_packet_record_128b_bytes,batch256_packet_record_64b_bytes
101,canonical,500,0.482,0.016624981071799994,1.9092079892288893,0,0,1.0241031231585551,True,0.032334006391465664,128.0,128.0,64.0,0.01796349897631444,16.0,16.0,8.0,0.01623369824371296,4.0,8.0,7.0,0.01624786681695994,4.0,7.0,7.0
101,utility_balanced,500,0.494,0.01650000922381878,1.9129375141346827,0,0,1.016696425737519,True,0.03220900543965399,128.0,128.0,64.0,0.017906248103827238,16.0,16.0,8.0,0.0162290422255095,4.0,8.0,7.0,0.016328369099483098,4.0,7.0,7.0
101,opq_procrustes,500,0.498,0.016499980119988322,1.9605209963629022,0,0,1.0263211202495472,True,0.032374984584748745,128.0,128.0,64.0,0.018151000404031947,16.0,16.0,8.0,0.01607682020221546,4.0,8.0,7.0,0.01635024180687338,4.0,7.0,7.0
101,utility_opq_procrustes,500,0.48,0.01666697789914906,1.959687506314367,0,0,1.0275126765142957,True,0.03241698141209781,128.0,128.0,64.0,0.01801562393666245,16.0,16.0,8.0,0.016220702946156962,4.0,8.0,7.0,0.016184852431818355,4.0,7.0,7.0
101,protected_hadamard,500,0.498,0.01666598836891353,1.959207991603762,0,0,1.034176484866791,True,0.032499985536560416,128.0,128.0,64.0,0.017968748579733074,16.0,16.0,8.0,0.0161152265718556,4.0,8.0,7.0,0.016170754391720547,4.0,7.0,7.0
101,utility_protected_hadamard,500,0.504,0.01641598646529019,1.9591879972722381,0,0,1.018230657498272,True,0.03254201146773994,128.0,128.0,64.0,0.018153688870370388,16.0,16.0,8.0,0.016122070519486442,4.0,8.0,7.0,0.016337260246070743,4.0,7.0,7.0
103,canonical,500,0.508,0.016082980437204242,1.9082080107182264,0,0,1.004123804593664,True,0.0321249826811254,128.0,128.0,64.0,0.01784375126590021,16.0,16.0,8.0,0.016016929748730035,4.0,8.0,7.0,0.016304117139043228,4.0,7.0,7.0
103,utility_balanced,500,0.502,0.01562500256113708,1.9060630002059042,0,0,0.9877759373430312,True,0.03220798680558801,128.0,128.0,64.0,0.01775525015546009,16.0,16.0,8.0,0.01581836727382324,4.0,8.0,7.0,0.016227391025405852,4.0,7.0,7.0
103,opq_procrustes,500,0.498,0.015833007637411356,1.9583960092859343,0,0,0.9928761157402701,True,0.03254198236390948,128.0,128.0,64.0,0.01873700057331007,16.0,16.0,8.0,0.015946609437378356,4.0,8.0,7.0,0.01608811475844199,4.0,7.0,7.0
103,utility_opq_procrustes,500,0.504,0.016000005416572094,1.959582994459197,0,0,0.9914682780743413,True,0.032333016861230135,128.0,128.0,64.0,0.017869748262455687,16.0,16.0,8.0,0.01613768768038426,4.0,8.0,7.0,0.01628765366164219,4.0,7.0,7.0
103,protected_hadamard,500,0.514,0.01645900192670524,1.9599164952524006,0,0,1.020116735388273,True,0.03258301876485348,128.0,128.0,64.0,0.018052125597023405,16.0,16.0,8.0,0.01613442987036251,4.0,8.0,7.0,0.016266307314060112,4.0,7.0,7.0
103,utility_protected_hadamard,500,0.504,0.016250007320195436,1.9588330178521574,0,0,1.008404142957008,True,0.03241599188186228,128.0,128.0,64.0,0.01813537164707668,16.0,16.0,8.0,0.016114578102133237,4.0,8.0,7.0,0.01670293894877715,4.0,7.0,7.0
107,canonical,500,0.52,0.016499980119988322,1.909292011987418,0,0,1.018750665430968,True,0.032374984584748745,128.0,128.0,64.0,0.017895872588269413,16.0,16.0,8.0,0.01619628892512992,4.0,8.0,7.0,0.01634084836574462,4.0,7.0,7.0
107,utility_balanced,500,0.516,0.015958008589223027,1.9092915172223002,0,0,0.9837850654875518,True,0.032374984584748745,128.0,128.0,64.0,0.017994749214267358,16.0,16.0,8.0,0.016221031553588824,4.0,8.0,7.0,0.016184490220894077,4.0,7.0,7.0
107,opq_procrustes,500,0.502,0.01650000922381878,1.9565624970709905,0,0,1.0194699208796079,True,0.03233298775739968,128.0,128.0,64.0,0.01832812631619163,16.0,16.0,8.0,0.01618489068277995,4.0,8.0,7.0,0.016368896467611194,4.0,7.0,7.0
107,utility_opq_procrustes,500,0.514,0.016208505257964134,1.9609169976320118,0,0,1.003153345182758,True,0.0322920095641166,128.0,128.0,64.0,0.017864500478026457,16.0,16.0,8.0,0.016157554910023464,4.0,8.0,7.0,0.016230060509769828,4.0,7.0,7.0
107,protected_hadamard,500,0.512,0.016541016520932317,1.9584374967962503,0,0,1.031086287437192,True,0.03241599188186228,128.0,128.0,64.0,0.017833248421084136,16.0,16.0,8.0,0.016042320339693106,4.0,8.0,7.0,0.016257342201138496,4.0,7.0,7.0
107,utility_protected_hadamard,500,0.516,0.016417005099356174,1.9629375165095553,0,0,1.0087168198884329,True,0.03245798870921135,128.0,128.0,64.0,0.017989626940106973,16.0,16.0,8.0,0.01627513765575154,4.0,8.0,7.0,0.016242105516539596,4.0,7.0,7.0
