row_id,systems_row_id,row_group,systems_scope,method,communicated_object,source_packet_cached,source_scoring_included,source_private,raw_bytes,framed_bytes,cacheline_bytes,batch64_bytes,source_scoring_ms_per_question,source_scoring_total_s,packet_build_ms_per_question,receiver_decode_p50_us,receiver_decode_p95_us,source_text_exposed,source_kv_exposed,source_hidden_or_score_vector_exposed,native_measured,native_claim_allowed,measurement_status,nvidia_vllm_required,claim_allowed,overclaim_guard,source_url,notes
latentwire_arc_challenge_test_8b_cached_source,latentwire_packet_cached_source,LatentWire packet,communication_object,LatentWire ARC-Challenge test packet (cached source),cached-source task-level candidate evidence packet,true,false,true,8,11,64,704,,,,,,false,false,false,false,false,cached_source_communication_object,false,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json,accuracy=0.344; headline_eligible=true
latentwire_arc_challenge_test_8b_end_to_end_source_scoring,latentwire_packet_end_to_end_source_scoring,LatentWire packet,end_to_end_source_scoring,LatentWire ARC-Challenge test packet (source scoring disclosed),same packet with source scoring disclosed separately,false,true,true,8,11,64,704,,,,,,false,false,false,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,false,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json,accuracy=0.344; source_scoring_ms_per_question=None; receiver_decode_p50_us=None; receiver_decode_p95_us=None
latentwire_openbookqa_test_3b_cached_source,latentwire_packet_cached_source,LatentWire packet,communication_object,LatentWire OpenBookQA test packet (cached source),cached-source task-level candidate evidence packet,true,false,true,3,6,64,384,,,,,,false,false,false,false,false,cached_source_communication_object,false,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_openbookqa_seed_stability_20260501_qwen05_hashed_test_3b/arc_challenge_seed_stability.json,accuracy=0.378; headline_eligible=true
latentwire_openbookqa_test_3b_end_to_end_source_scoring,latentwire_packet_end_to_end_source_scoring,LatentWire packet,end_to_end_source_scoring,LatentWire OpenBookQA test packet (source scoring disclosed),same packet with source scoring disclosed separately,false,true,true,3,6,64,384,,,,,,false,false,false,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,false,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_openbookqa_seed_stability_20260501_qwen05_hashed_test_3b/arc_challenge_seed_stability.json,accuracy=0.378; source_scoring_ms_per_question=None; receiver_decode_p50_us=None; receiver_decode_p95_us=None
latentwire_hellaswag_validation1024_2b_cached_source,latentwire_packet_cached_source,LatentWire packet,communication_object,LatentWire HellaSwag validation_first1024 packet (cached source),cached-source task-level candidate evidence packet,true,false,true,2,5,64,320,,,,28.959,30.375,false,false,false,false,false,cached_source_communication_object,false,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_hellaswag_seed_stability_20260501_qwen05_hashed_validation1024_2b_5seed/arc_challenge_seed_stability.json,accuracy=0.461; headline_eligible=false
latentwire_hellaswag_validation1024_2b_end_to_end_source_scoring,latentwire_packet_end_to_end_source_scoring,LatentWire packet,end_to_end_source_scoring,LatentWire HellaSwag validation_first1024 packet (source scoring disclosed),same packet with source scoring disclosed separately,false,true,true,2,5,64,320,488.631,500.358,,28.959,30.375,false,false,false,false,false,mac_local_end_to_end_source_scoring_disclosed,false,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_hellaswag_seed_stability_20260501_qwen05_hashed_validation1024_2b_5seed/arc_challenge_seed_stability.json,accuracy=0.461; source_scoring_ms_per_question=488.63110941601917; receiver_decode_p50_us=28.959009796380997; receiver_decode_p95_us=30.37502756342292
latentwire_hellaswag_full_compact_1b_cached_source,latentwire_packet_cached_source,LatentWire packet,communication_object,LatentWire HellaSwag validation_full_compaction packet (cached source),cached-source task-level candidate evidence packet,true,false,true,1,4,64,256,,,,,,false,false,false,false,false,cached_source_communication_object,false,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_hellaswag_minimal_packet_compaction_20260502/hellaswag_minimal_packet_compaction.json,accuracy=0.619; headline_eligible=false
latentwire_hellaswag_full_compact_1b_end_to_end_source_scoring,latentwire_packet_end_to_end_source_scoring,LatentWire packet,end_to_end_source_scoring,LatentWire HellaSwag validation_full_compaction packet (source scoring disclosed),same packet with source scoring disclosed separately,false,true,true,1,4,64,256,,,,,,false,false,false,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,false,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_hellaswag_minimal_packet_compaction_20260502/hellaswag_minimal_packet_compaction.json,accuracy=0.619; source_scoring_ms_per_question=None; receiver_decode_p50_us=None; receiver_decode_p95_us=None
same_byte_text_control_arc,same_byte_text_control_arc,local control,local_control,Same-byte structured text control (ARC),text-form control with same packet budget,false,false,false,8,11,64,704,,,,,,true,false,false,true,false,mac_local_control,false,negative/control row only; cannot support source-private claim,This row intentionally exposes source text and is not a source-private method.,results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json,same-byte text accuracy=0.300
source_score_vector_fp16_floor,source_score_vector_fp16_floor,state relay floor,source_state_floor,Four-choice fp16 score-vector relay floor,"source score vector, fp16",false,false,false,8,8,64,512,,,,,,false,false,true,false,false,score_vector_floor_not_source_private,false,source-state exposure floor only; not a source-private packet,This row exposes a source score vector; do not claim it is a LatentWire packet.,results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json,4 candidate scores times fp16.
