row_group,method,surface,artifact,n,budget_bytes,payload_kind,source_private,decoder_side_info,same_byte_matched,accuracy,target_accuracy,best_destroying_control_accuracy,delta_vs_target,delta_vs_best_control,controls_ok,pass_rule_result,p50_latency_ms,p95_latency_ms,kv_qjl_1bit_bytes_vs_packet,kv_kivi_2bit_bytes_vs_packet,paper_use,caveat
learned_packet,learned synonym dictionary packet,core_to_holdout synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/learned_synonym_dictionary_packet_gate.json,256,4,atom_packet,True,True,True,1,0.25,0.25,0.75,0.75,True,pass,,,,,headline learned calibrated-dictionary packet,calibrated public dictionary; not held-out paraphrase transfer
same_surface_control,same-byte structured text relay,core_to_holdout synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/core_to_holdout/summary.json,256,4,structured_text_matched,True,True,True,0.25,0.25,,0,,True,control_ok,0.002416,0.00845801,,,direct same-byte text control,same benchmark surface; not a standalone communication method
same_surface_control,random same-byte packet,core_to_holdout synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/core_to_holdout/summary.json,256,4,random_same_byte,False,True,True,0.246094,0.25,,-0.00390625,,True,control_ok,0.00958351,27.6444,,,source-destroying byte control,same benchmark surface; not a standalone communication method
same_surface_control,answer-label text truncated to 4 bytes,core_to_holdout synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/core_to_holdout/summary.json,256,4,answer_only_text,False,True,True,0.25,0.25,,0,,True,control_ok,0.0031665,0.01675,,,answer-only leakage control,same benchmark surface; not a standalone communication method
learned_packet,learned synonym dictionary packet,holdout_to_core synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/learned_synonym_dictionary_packet_gate.json,256,4,atom_packet,True,True,True,0.875,0.25,0.257812,0.625,0.617188,True,pass,,,,,headline learned calibrated-dictionary packet,calibrated public dictionary; not held-out paraphrase transfer
same_surface_control,same-byte structured text relay,holdout_to_core synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/holdout_to_core/summary.json,256,4,structured_text_matched,True,True,True,0.25,0.25,,0,,True,control_ok,0.00241701,0.00779098,,,direct same-byte text control,same benchmark surface; not a standalone communication method
same_surface_control,random same-byte packet,holdout_to_core synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/holdout_to_core/summary.json,256,4,random_same_byte,False,True,True,0.257812,0.25,,0.0078125,,True,control_ok,0.00922898,33.7396,,,source-destroying byte control,same benchmark surface; not a standalone communication method
same_surface_control,answer-label text truncated to 4 bytes,holdout_to_core synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/holdout_to_core/summary.json,256,4,answer_only_text,False,True,True,0.25,0.25,,0,,True,control_ok,0.00304199,0.017083,,,answer-only leakage control,same benchmark surface; not a standalone communication method
learned_packet,learned synonym dictionary packet,same_family_all synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/learned_synonym_dictionary_packet_gate.json,256,4,atom_packet,True,True,True,0.9375,0.25,0.25,0.6875,0.6875,True,pass,,,,,headline learned calibrated-dictionary packet,calibrated public dictionary; not held-out paraphrase transfer
same_surface_control,same-byte structured text relay,same_family_all synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/same_family_all/summary.json,256,4,structured_text_matched,True,True,True,0.25,0.25,,0,,True,control_ok,0.00249999,0.00870798,,,direct same-byte text control,same benchmark surface; not a standalone communication method
