cache_family,path,files_seen,rows_seen,rows_dev,rows_gate,rows_confirm,parse_status,parser,usable_for_methods,blocked_reason
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/artifact_check.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/artifact_hashes.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/bootstrap_ci.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/checker_result.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/command_metadata.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/drift_metrics.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/environment.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/logits_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/model_provenance.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/predicted_bounds.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/prompt_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/quantization_config.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/random_seed.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/raw_drift_rows.jsonl,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/run_events.jsonl,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z/trace_tokens.jsonl,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z/checker_result.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z/command_metadata.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z/environment.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z/input_artifact_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z/metrics.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/checker_result.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/command_metadata.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/environment.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/input_artifact_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/cross_family_r1.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/cross_family_r2.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/cross_family_r3.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/granite_primary_r1.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/granite_primary_r2.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/granite_primary_r3.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/granite_same_family_r1.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/granite_same_family_r2.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/launch_audits/granite_same_family_r3.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/metrics.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/replay_schedule.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/cross_family_r1.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/cross_family_r2.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/cross_family_r3.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/granite_primary_r1.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/granite_primary_r2.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/granite_primary_r3.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/granite_same_family_r1.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/granite_same_family_r2.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z/timings/granite_same_family_r3.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z,experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z/checker_result.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z,experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z/command_metadata.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z,experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z/environment.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
