unit_id,root,path,file_count,row_count,partition_status,scan_statuses
experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,experimental,experimental/cross_layer_error/results/cle_theoretical_20260508T191327Z,16,16,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,experimental,experimental/decode_microkernel/phase0/results/decode_microkernel_phase0_20260507T233130Z,5,5,no_named_partition_detected,['large_json_file_level']
experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,experimental,experimental/decode_microkernel/phase1/results/dmc_phase1_20260508T000525Z,24,24,no_named_partition_detected,['large_json_file_level']
experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z,experimental,experimental/decode_microkernel/phase2/results/dmc_phase2_20260508T0045Z,8,8,no_named_partition_detected,['large_json_file_level']
experimental/hbsm/phase2/results/hbsm_synthetic_b1,experimental,experimental/hbsm/phase2/results/hbsm_synthetic_b1,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/horn/phase2/results/horn_synthetic_h1,experimental,experimental/horn/phase2/results/horn_synthetic_h1,3,3,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/hybridkernel/phase2/results/hybridkernel_profiler_gate_20260507T212428Z,experimental,experimental/hybridkernel/phase2/results/hybridkernel_profiler_gate_20260507T212428Z,12,12,prior_eval_rows_present_no_clean_confirm,['large_json_file_level']
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,13,13,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,15,15,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase3/results/layer_stratified_migration.json,experimental,experimental/outlier_migrate/phase3/results/layer_stratified_migration.json,1,1,no_named_partition_detected,['large_json_file_level']
